"MANAGEMENT AND HUMAN RES Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"236
M H R","","","","","","","","","","","","","","","","","","",""
"","300
001","108","3.250","11.1","40.7","36.1","11.1","0.9",".",".",".",".",".",".",".",".",".",".","."
"","300
002","22","3.250","13.6","50.0","13.6","18.2","4.5",".",".",".",".",".",".",".",".",".",".","."
"","300
003","15","3.133","26.7","26.7","26.7","13.3",".",".","6.7",".",".",".",".",".",".",".",".","."
"","300
004","37","3.297","27.0","29.7","27.0","13.5",".","2.7",".",".",".",".",".",".",".",".",".","."
"","300
005","35","3.129","14.3","22.9","37.1","25.7",".",".",".",".",".",".",".",".",".",".",".","."
"","300
006","40","3.213","17.5","30.0","35.0","12.5","5.0",".",".",".",".",".",".",".",".",".",".","."
"","300
007","40","3.225","17.5","25.0","42.5","15.0",".",".",".",".",".",".",".",".",".",".",".","."
"","300
008","40","3.138",".","45.0","45.0","7.5",".","2.5",".",".",".",".",".",".",".",".",".","."
"","300
009","35","3.171","22.9","14.3","45.7","8.6","8.6",".",".",".",".",".",".",".",".",".",".","."
"","300
010","37","3.081","10.8","24.3","40.5","18.9","5.4",".",".",".",".",".",".",".",".",".",".","."
"","300
011","36","3.236","13.9","33.3","41.7","8.3","2.8",".",".",".",".",".",".",".",".",".",".","."
"","300
012","23","2.978","13.0","17.4","39.1","21.7","4.3","4.3",".",".",".",".",".",".",".",".",".","."
"","300
013","20","3.250","15.0","40.0","25.0","20.0",".",".",".",".",".",".",".",".",".",".",".","."
"Managing Organizations","Course Total","488","3.195","14.5","32.0","36.5","13.9","2.3","0.6","0.2",".",".",".",".",".",".",".",".","."
"","305
001","53","3.481","54.7","17.0","9.4","7.5","11.3",".",".",".",".",".",".",".",".",".",".","."
"","305
100","52","3.519","48.1","17.3","28.8","1.9","3.8",".",".",".",".",".",".",".",".",".",".","."
"Human Resource Management","Course Total","105","3.500","51.4","17.1","19.0","4.8","7.6",".",".",".",".",".",".",".",".",".",".","."
"Chall & Solu in Bus Sustain","310
001","27","3.500","29.6","44.4","22.2","3.7",".",".",".",".",".",".",".",".",".",".",".","."
"","322
001","132","3.352","41.7","23.5","18.9","6.1","6.1","2.3","1.5",".",".",".",".",".",".",".",".","."
"","322
002","146","3.414","39.7","26.7","22.6","4.1","4.8","1.4","0.7",".",".",".",".",".",".",".",".","."
"Intro to Entrepreneurship","Course Total","278","3.385","40.6","25.2","20.9","5.0","5.4","1.8","1.1",".",".",".",".",".",".",".",".","."
"","399
056","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
071","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Reading & Rsch-Management","Course Total","2","***","","","","","","","","","","","","","","","",""
"Leading Teams","401
001","36","3.361","30.6","33.3","22.2","5.6","8.3",".",".",".",".",".",".",".",".",".",".","."
"Global Issues in Management","403
001","6","3.500","50.0","33.3",".",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"","412
001","48","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","412
002","42","3.619","23.8","76.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Management Consulting","Course Total","90","3.822","64.4","35.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Strat Mgmt Innov Corp EShip","415
001","24","3.667","54.2","29.2","12.5","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"Leading Change in Organization","420
001","34","3.897","85.3","11.8",".","2.9",".",".",".",".",".",".",".",".",".",".",".","."
"","423
001","28","3.643","53.6","21.4","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","423
002","19","3.684","57.9","21.1","21.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","423
100","48","3.915","83.3","12.5","2.1",".",".",".",".",".",".",".",".",".",".","2.1",".","."
"Strategic Management","Course Total","95","3.787","69.5","16.8","12.6",".",".",".",".",".",".",".",".",".",".","1.1",".","."
"Venture Creation","434
001","43","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"WI Appl Ventur in Entrprnrship","438
001","24","3.813","79.2","12.5","4.2",".","4.2",".",".",".",".",".",".",".",".",".",".","."
"Leadership Theory and Practice","604
001","12","3.708","58.3","25.0","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Strategic Talent Management","611
001","26","3.820","69.2","19.2","7.7",".",".",".",".",".",".",".",".",".","3.8",".",".","."
"","614
001","35","3.882","80.0","11.4","5.7",".",".",".",".",".",".",".",".",".","2.9",".",".","."
"","614
002","34","3.765","79.4","11.8","5.9",".",".",".","2.9",".",".",".",".",".",".",".",".","."
"July 16, 2026","","","","","","","","","","","","","","","","","","Page 60 of 493",""
