"COMMUNICATION SCI & DISORD Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"252
CS&D","","","","","","","","","","","","","","","","","","","",""
"Culture, Language, CSD","120
001","","185","3.736","73.5","8.6","13.5","0.5","2.7",".","0.5",".",".",".",".",".",".","0.5",".","."
"Anatomy & Physiology of Speech","201
001","","36","3.139","41.7","16.7","13.9",".","22.2","2.8","2.8",".",".",".",".",".",".",".",".","."
"Hearing Science","202
001","","64","3.609","59.4","20.3","7.8","7.8","4.7",".",".",".",".",".",".",".",".",".",".","."
"Neural Base Comm","210
001","","191","3.563","55.0","23.6","10.5","5.2","4.7",".","1.0",".",".",".",".",".",".",".",".","."
"Voice, Craniofac & Fluency Dis","318
001","","92","3.793","70.7","18.5","9.8","1.1",".",".",".",".",".",".",".",".",".",".",".","."
"PreClin Obs-Chldrn & Adults","371
001","","87","3.920","95.4","2.3",".",".","1.1",".","1.1",".",".",".",".",".",".",".",".","."
"Auditory Rehabilitation","425
001","","80","3.631","62.5","25.0","3.8","3.8","2.5",".","2.5",".",".",".",".",".",".",".",".","."
"Sign Language in Health and Ed","434
001","","39","3.949","94.9",".","5.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Child Language Disorders","440
001","","85","3.794","74.1","17.6","4.7","2.4",".","1.2",".",".",".",".",".",".",".",".",".","."
"Senior Honors Thesis","681
004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682
003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","682
010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682
024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682
025","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","682
060","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
002","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
003","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
005","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
007","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
010","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
016","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
017","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
022","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
024","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
046","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
095","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Directed Study","Course Total","","97","3.992","97.9","1.0",".",".",".",".",".",".",".",".",".",".","1.0",".",".","."
"Clinical Foundations for SLP","700
001","","28","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Lang&Cogntv-Com Dis in Adults","704
001","","29","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mgt&Assessmt-Voice Disorder","706
001","","28","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Swallowing Disorders","707
001","","28","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"School Methods in Lang Dis","709
001","","29","3.983","96.6","3.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Capstone in Comm Sci & Dis","752
001","","25","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","790
001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","790
002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","790
003","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"July 16, 2026","","","","","","","","","","","","","","","","","","","Page 223 of 493",""
