"FINANCE, INVESTMENT & BANKI Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"233
FINANCE","","","","","","","","","","","","","","","","","","","",""
"","365
00A","","9","3.889","88.9",".","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","","90","3.631","44.4","41.1","11.1","2.2","1.1",".",".",".",".",".",".",".",".",".",".","."
"","399
043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
151","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
158","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Reading & Research-Finance","Course Total","","5","***","","","","","","","","","","","","","","","",""
"Bank Management","410
001","","44","3.307","25.0","31.8","27.3","11.4","4.5",".",".",".",".",".",".",".",".",".",".","."
"","420
001","","31","3.661","48.4","35.5","16.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","420
002","","27","3.315","14.8","33.3","51.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Investmt Bankg & Capital Mrkts","Course Total","","58","3.500","32.8","34.5","32.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Multinational Bus Finance","445
001","","37","2.892","13.5","16.2","35.1","16.2","13.5","5.4",".",".",".",".",".",".",".",".",".","."
"Entrepreneurial Finance","457
001","","45","3.500","24.4","53.3","20.0","2.2",".",".",".",".",".",".",".",".",".",".",".","."
"Markets with Frictions","503
001","","45","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Applied Equity Mkts Research 1","535
001","","16","3.844","75.0","18.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","602
001","","19","3.974","94.7","5.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","602
002","","22","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Wealth Mgmt&Financial Planning","Course Total","","41","3.963","92.7","7.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Business Valuation","635
001","","39","3.513","35.9","33.3","28.2","2.6",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Applied Portfolio Mgt","646
001","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","650
001","","39","3.487","28.2","43.6","25.6","2.6",".",".",".",".",".",".",".",".",".",".",".","."
"","650
002","","16","3.781","62.5","31.3","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mergers and Acquisitions","Course Total","","55","3.573","38.2","40.0","20.0","1.8",".",".",".",".",".",".",".",".",".",".",".","."
"","676
001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","676
002","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","676
003","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Securty Analys & Invstmt Mgt 2","Course Total","","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Financial Mgmnt","700
040","","19","3.895","84.2","10.5","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Corporatn Finance Thry&Prac","725
001","","18","3.500","50.0","22.2","16.7",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"Derivative Securities","730
060","","25","3.740","56.0","36.0","8.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Analysis Fixed Inc Securities","740
001","","7","3.571","57.1","14.3","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"Multinational Bus Finance","745
001","","12","3.458","16.7","58.3","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Entrepreneurial Finance","757
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Current Topics in Finance","760
001","","17","3.971","94.1","5.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
001","","12","3.500","33.3","41.7","16.7","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"","765
002","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","","23","3.617","65.2","21.7","8.7","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"Reading & Research-Finance","799
108","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar-Investments (Ph.D.)","970
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr-Corporate Finance (Ph.D.)","971
001","","7","4.000","85.7",".",".",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"Seminar-Workshop in Finance","973
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"July 16, 2026","","","","","","","","","","","","","","","","","","","","Page 56 of 493"
