"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"R M I","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","2","***","","","","","","","","","","","",".","",".",".","",".",".",".","."
"Sophomore","","41","3.293","36.6","7.3","39.0","12.2","4.9",".","",".",".","",".",".","",".",".","",".",".",".","."
"Junior","","125","3.433","47.2","15.2","25.6","4.0","8.0",".","",".",".","",".",".","",".",".","",".",".",".","."
"Senior","","211","3.385","43.6","13.3","29.9","8.5","3.8","0.9","",".",".","",".",".","",".",".","",".",".",".","."
"Undergraduates","","379","3.383","43.8","13.2","29.3","7.4","5.8","0.5","",".",".","",".",".","",".",".","",".",".",".","."
"Special","","9","3.056","11.1","33.3","33.3",".","22.2",".","",".",".","",".",".","",".",".","",".",".",".","."
"Graduate","","74","3.618","55.4","14.9","16.2","1.4","2.7","1.4","",".","2.7","",".",".","",".","5.4","",".",".",".","."
"","Dept. Total","462","3.412","45.0","13.9","27.3","6.3","5.6","0.6","",".","0.4","",".",".","",".","0.9","",".",".",".","."
