"EDUCATIONAL POLICY STUDIES Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"310
ED POL","","","","","","","","","","","","","","","","","","",""
"","112
001","28","3.840","67.9","14.3","7.1",".",".",".",".",".",".",".",".",".",".",".","10.7","."
"","112
002","26","3.960","88.5","7.7",".",".",".",".",".","3.8",".",".",".",".",".",".",".","."
"","112
003","26","3.635","53.8","26.9","15.4",".","3.8",".",".",".",".",".",".",".",".",".",".","."
"Global Education through Film","Course Total","80","3.809","70.0","16.3","7.5",".","1.3",".",".","1.3",".",".",".",".",".",".","3.8","."
"Media Literacy in Education","134
001","27","3.370","59.3","14.8","7.4","7.4","3.7",".","7.4",".",".",".",".",".",".",".",".","."
"","140
001","49","3.667","71.4","8.2","10.2","4.1","2.0",".","2.0",".",".",".",".",".","2.0",".",".","."
"","140
002","48","3.947","91.7","2.1","4.2",".",".",".",".",".",".",".",".",".","2.1",".",".","."
"Introduction to Education","Course Total","97","3.805","81.4","5.2","7.2","2.1","1.0",".","1.0",".",".",".",".",".","2.1",".",".","."
"History of Race and Inequality","143
001","42","3.850","73.8","14.3","7.1",".",".",".",".","4.8",".",".",".",".",".",".",".","."
"Intro to Education Policy","145
001","29","3.862","82.8","10.3","3.4","3.4",".",".",".",".",".",".",".",".",".",".",".","."
"Ethics and Education","147
001","29","3.759","58.6","34.5","6.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","150
001","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","150
002","8","3.875","87.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","150
003","27","3.944","92.6","3.7","3.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","150
007","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Education and Public Policy","Course Total","53","3.949","94.3","1.9","3.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Hist of Disc & Resist at UW","163
001","25","3.800","64.0","32.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Race,Ethnicty&Inequal-Am Ed","200
002","29","3.862","79.3","17.2",".","3.4",".",".",".",".",".",".",".",".",".",".",".","."
"Internship in Ed, Arts, Health","203
001","8","3.868","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lang & Social Inequality","205
001","31","3.968","96.8",".","3.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","209
001","83","3.795","79.5","14.5","3.6",".",".",".","2.4",".",".",".",".",".",".",".",".","."
"","209
002","30","3.917","86.7","10.0","3.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Quant Methods in Ed Pol","Course Total","113","3.827","81.4","13.3","3.5",".",".",".","1.8",".",".",".",".",".",".",".",".","."
"","210
001","49","3.918","95.9",".","2.0",".",".","2.0",".",".",".",".",".",".",".",".",".","."
"","210
002","49","3.867","77.6","18.4","4.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","210
003","49","3.980","95.9","4.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Youth, Education, and Society","Course Total","147","3.922","89.8","7.5","2.0",".",".","0.7",".",".",".",".",".",".",".",".",".","."
"Education for Social Justice","212
001","29","3.983","96.6","3.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Disability and Ed Policy","215
001","27","3.630","81.5","7.4",".",".","3.7","3.7","3.7",".",".",".",".",".",".",".",".","."
"","220
001","23","3.609","60.9","13.0","13.0","13.0",".",".",".",".",".",".",".",".",".",".",".","."
"","220
002","22","3.886","86.4","4.5","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Human Rights and Education","Course Total","45","3.744","73.3","8.9","11.1","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"Indigenous Ed Pol & Practice","222
001","6","4.000","83.3",".",".",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"","240
001","44","3.932","90.9","4.5","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","240
002","50","3.910","96.0","2.0",".",".",".",".","2.0",".",".",".",".",".",".",".",".","."
"Comparative Education","Course Total","94","3.920","93.6","3.2","2.1",".",".",".","1.1",".",".",".",".",".",".",".",".","."
"Education in East Asia","245
001","18","3.389","72.2","5.6",".","5.6","5.6","5.6","5.6",".",".",".",".",".",".",".",".","."
"International Educational Dev","260
001","23","3.696","78.3","8.7","4.3",".","4.3","4.3",".",".",".",".",".",".",".",".",".","."
"","300
001","45","3.967","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
002","49","3.939","93.9","4.1",".",".","2.0",".",".",".",".",".",".",".",".",".",".","."
