"EGR","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GEOLOGICAL ENGINEERING","Section","#","Ave","A","AB","B","BC","","C","","D","","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","","",""
"418
G L E","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"418
G L E","Dept. Total","109","3.733","57.8","16.5","11.9","",".","",".","",".","",".","13.8","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","","C","","D","","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","","",""
"418
G L E","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","4","***","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Junior","","8","3.605","62.5","12.5","25.0","",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Senior","","41","3.720","61.0","26.8","12.2","",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","53","3.701","62.3","22.6","15.1","",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Special","","2","***","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Graduate","","54","3.821","55.6","9.3","7.4","",".","",".","",".","",".","27.8","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","109","3.733","57.8","16.5","11.9","",".","",".","",".","",".","13.8","",".",".","",".","",".","",".",".",".","."
