"GEOGRAPHY","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"416
GEOG","","","","","","","","","","","","","","","","","","","",""
"Intro to Human Geography","101","001","122","3.529","55.7","25.4","6.6","4.9","3.3","2.5","1.6",".",".",".",".",".",".",".",".","."
"Intro Earth System","120","001","38","3.486","34.2","28.9","23.7","2.6","2.6",".",".",".",".",".",".",".",".",".","7.9","."
"Global Environmental Issues","139","001","29","3.537","65.5",".","13.8","3.4","6.9","3.4",".",".",".",".",".",".",".",".","6.9","."
"Digital Globe:GIScience & Tech","170","001","449","3.506","52.1","22.7","9.1","6.0","5.8","1.6","0.7",".",".",".",".",".",".",".","2.0","."
"Topics in Geography","175","001","32","3.083","40.6","6.3","15.6","9.4","15.6","3.1","3.1","6.3",".",".",".",".",".",".",".","."
"Soil: Ecosystem & Resource","230","001","9","2.625","11.1","11.1","33.3","11.1","11.1",".","11.1",".",".",".",".",".","11.1",".",".","."
"Making the American Landscape","239","001","6","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Latin America-Introduction","260","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Africa: Introductory Survey","277","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Econ Geog: Locational Behav","302","001","29","3.897","93.1",".",".","6.9",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to the City","305","001","49","3.713","63.3","20.4","6.1","2.0","4.1",".",".","4.1",".",".",".",".",".",".",".","."
"Intl Migrat, Health & Rights","307","001","38","3.694","60.5","23.7","5.3","2.6",".","2.6",".",".",".",".",".",".",".",".","5.3","."
"Latinx Feminisms","308","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"People, Land and Food","309","001","20","3.575","60.0","25.0","10.0",".",".",".","5.0",".",".",".",".",".",".",".",".","."
"Soccer, Politics, and Identity","311","001","52","3.532","32.7","44.2","9.6","1.9",".",".","1.9",".",".",".",".",".",".",".","9.6","."
"Global Warming:Science&Impacts","332","001","22","3.531","31.8","18.2","18.2","4.5",".",".",".","27.3",".",".",".",".",".",".",".","."
"Green Urbanism","333","001","34","3.412","61.8","8.8","14.7","2.9","5.9",".","5.9",".",".",".",".",".",".",".",".","."
"Environmental Conservation","339","001","26","3.192","23.1","15.4","50.0","7.7",".","3.8",".",".",".",".",".",".",".",".",".","."
"World Regions in Global Contxt","340","001","323","3.593","57.9","13.3","11.1","1.5","2.8","1.5","1.5","7.7",".",".",".",".","0.6",".","1.9","."
"","342","001","254","3.707","52.8","13.0","5.5","1.6","2.0","0.8","0.4","23.6",".",".",".",".",".",".","0.4","."
"","342","002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Geography of Wisconsin","","Course Total","255","3.709","52.9","12.9","5.5","1.6","2.0","0.8","0.4","23.5",".",".",".",".",".",".","0.4","."
"Landscapes of American West","344","001","19","3.583","52.6","21.1","10.5","5.3","5.3",".",".","5.3",".",".",".",".",".",".",".","."
"Geography of Southeast Asia","358","001","9","3.000","22.2","44.4","11.1",".","11.1",".","11.1",".",".",".",".",".",".",".",".","."
"Introduction to Cartography","370","001","55","3.357","36.4","18.2","27.3","1.8","1.8",".","3.6","5.5",".",".",".",".","1.8",".","3.6","."
"Intro Envir Remote Sensing","371","001","27","3.019","40.7","11.1","18.5","7.4","11.1","3.7","7.4",".",".",".",".",".",".",".",".","."
"Intro to Geog Info Systems","377","001","54","3.574","59.3","22.2","9.3","3.7","1.9","1.9","1.9",".",".",".",".",".",".",".",".","."
"","475","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","475","002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in Geography","","Course Total","7","3.917","71.4","14.3",".",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"Transforming Earth Systems","526","001","22","3.750","77.3","13.6","4.5",".",".","4.5",".",".",".",".",".",".",".",".",".","."
"Humid Tropics","538","001","16","3.406","43.8","31.3","12.5",".","6.3","6.3",".",".",".",".",".",".",".",".",".","."
"Dev and Env in Southeast Asia","557","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Colloq-Undergraduate Majors","565","001","39","3.885","82.1","12.8","5.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Geocomputing","573","001","51","3.912","82.4","17.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Spatial Database","574","001","36","3.857","83.3","5.6","5.6",".","2.8",".",".",".",".",".",".",".","2.8",".",".","."
"","575","001","22","3.659","50.0","36.4","9.1","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"","575","070","2","***","","","","","","","","","",".",".",".",".",".",".","."
