"STATISTICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"932
STAT","","","","","","","","","","","","","","","","","","",""
"","240
001","111","2.843","18.0","21.6","20.7","10.8","16.2","7.2","2.7",".",".",".",".",".","1.8",".","0.9","."
"","240
002","169","3.117","24.9","21.3","24.9","16.0","7.7","4.1",".","0.6",".",".",".",".","0.6",".",".","."
"","240
003","156","3.032","19.9","18.6","34.6","10.9","13.5","0.6","1.9",".",".",".",".",".",".",".",".","."
"","240
004","168","3.051","19.6","19.6","32.7","13.1","13.1","0.6","1.2",".",".",".",".",".",".",".",".","."
"Data Science Modeling I","Course Total","604","3.027","20.9","20.2","28.8","12.9","12.3","2.8","1.3","0.2",".",".",".",".","0.5",".","0.2","."
"","301
001","193","2.922","27.5","10.4","20.2","16.6","19.7","4.7","1.0",".",".",".",".",".",".",".",".","."
"","301
002","187","2.842","26.7","9.1","21.4","13.9","20.9","4.8","3.2",".",".",".",".",".",".",".",".","."
"Intro-Statistical Methods","Course Total","380","2.883","27.1","9.7","20.8","15.3","20.3","4.7","2.1",".",".",".",".",".",".",".",".","."
"","303
001","30","3.717","70.0","20.0",".","3.3","6.7",".",".",".",".",".",".",".",".",".",".","."
"","303
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","303
003","79","3.949","92.4","5.1","2.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","303
004","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","303
005","82","3.951","93.9","3.7","1.2","1.2",".",".",".",".",".",".",".",".",".",".",".","."
"R for Statistics I","Course Total","197","3.916","89.8","6.6","1.5","1.0","1.0",".",".",".",".",".",".",".",".",".",".","."
"","304
003","64","3.773","78.1","14.1","1.6","3.1","1.6",".","1.6",".",".",".",".",".",".",".",".","."
"","304
004","4","***","","","","","","","","","",".",".",".",".",".",".","."
"R for Statistics II","Course Total","68","3.757","77.9","13.2","1.5","2.9","2.9",".","1.5",".",".",".",".",".",".",".",".","."
"","305
003","35","3.814","85.7","5.7",".","2.9","5.7",".",".",".",".",".",".",".",".",".",".","."
"","305
004","4","***","","","","","","","","","",".",".",".",".",".",".","."
"R for Statistics III","Course Total","39","3.833","87.2","5.1",".","2.6","5.1",".",".",".",".",".",".",".",".",".",".","."
"","309
001","33","3.121","48.5","18.2",".","6.1","15.2","9.1","3.0",".",".",".",".",".",".",".",".","."
"","309
002","42","2.750","23.8","4.8","28.6","7.1","23.8","11.9",".",".",".",".",".",".",".",".",".","."
"Intro to Prob & Math Stat I","Course Total","75","2.913","34.7","10.7","16.0","6.7","20.0","10.7","1.3",".",".",".",".",".",".",".",".","."
"Intro to Prob & Math Stat II","310
001","59","2.992","32.2","8.5","18.6","16.9","18.6","5.1",".",".",".",".",".",".",".",".",".","."
"","311
001","60","2.742","18.3","13.3","21.7","11.7","25.0","10.0",".",".",".",".",".",".",".",".",".","."
"","311
002","59","3.181","37.3","5.1","28.8","10.2","16.9",".",".",".",".",".",".",".","1.7",".",".","."
"","311
003","69","2.855","30.4","7.2","17.4","18.8","15.9","7.2","2.9",".",".",".",".",".",".",".",".","."
"Intro Math Stat (Theo, Meth) I","Course Total","188","2.920","28.7","8.5","22.3","13.8","19.1","5.9","1.1",".",".",".",".",".","0.5",".",".","."
"Intro Math Stat (Theo,Meth) II","312
001","7","3.571","71.4",".",".","28.6",".",".",".",".",".",".",".",".",".",".",".","."
"","324
001","173","2.997","27.7","9.2","25.4","16.8","17.9","2.3","0.6",".",".",".",".",".",".",".",".","."
"","324
002","163","2.975","25.8","11.7","23.9","17.8","17.2","3.1","0.6",".",".",".",".",".",".",".",".","."
"Intro Stat for Science and EGR","Course Total","336","2.987","26.8","10.4","24.7","17.3","17.6","2.7","0.6",".",".",".",".",".",".",".",".","."
"Applied Regression Analysis","333
001","56","3.313","23.2","37.5","23.2","10.7","5.4",".",".",".",".",".",".",".",".",".",".","."
"","340
001","92","2.837","27.2","8.7","20.7","17.4","16.3","6.5","3.3",".",".",".",".",".",".",".",".","."
"","340
002","186","2.815","25.3","10.2","19.9","15.1","19.9","7.5","2.2",".",".",".",".",".",".",".",".","."
"","340
003","138","2.848","25.4","11.6","18.1","14.5","22.5","7.2","0.7",".",".",".",".",".",".",".",".","."
"Data Science Modeling II","Course Total","416","2.831","25.7","10.3","19.5","15.4","20.0","7.2","1.9",".",".",".",".",".",".",".",".","."
"","371
001","178","2.909","25.3","11.8","22.5","10.1","16.9","9.0",".",".",".",".",".",".","4.5",".",".","."
"","371
002","178","2.878","27.0","9.6","18.5","14.6","22.5","6.2","0.6",".",".",".",".",".","1.1",".",".","."
"","371
003","157","2.828","25.5","10.2","20.4","15.3","20.4","5.1","3.2",".",".",".",".",".",".",".",".","."
"Intro Applied Stats-Life Sci","Course Total","513","2.873","25.9","10.5","20.5","13.3","19.9","6.8","1.2",".",".",".",".",".","1.9",".",".","."
