"MUSIC-PERFORMANCE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"664
MUS PERF","","","","","","","","","","","","","","","","","","","",""
"Fundamentals-Percussion
27","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Piano Accompanying Lab
342","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Third Year Composition
348","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"401","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"401","029","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Piano","Course Total","","3","***","","","","","","","","","","","","","","","",""
"405","018","","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"405","044","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"405","045","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"405","062","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"405","064","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"405","118","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"405","144","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"405","244","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Voice","Course Total","","22","3.938","86.4","13.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"407","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"407","110","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Flute","Course Total","","2","***","","","","","","","","","","","","","","","",""
"Advanced Oboe
409","059","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Clarinet
411","019","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Saxophone
413","049","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"415","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"415","132","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Bassoon","Course Total","","2","***","","","","","","","","","","","","","","","",""
"Advanced Horn
417","020","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Trumpet
419","063","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"421","089","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"421","189","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Trombone","Course Total","","4","***","","","","","","","","","","","","","","","",""
"Advanced Euphonium
423","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Tuba
425","035","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"427","033","","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"427","133","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Percussion","Course Total","","8","3.944","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"431","025","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"431","083","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"431","084","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"431","125","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"431","183","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"431","184","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Violin","Course Total","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
