"THEATRE AND DRAMA","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"942
THEATRE","","","","","","","","","","","","","","","","","","",""
"Experiencing Theatre","100
001","193","3.815","84.5","7.3","2.6","1.6","3.1",".","1.0",".",".",".",".",".",".",".",".","."
"Intro-Theatre & Dramatic Lit","120
001","160","3.716","61.9","28.8","6.3","1.9",".",".","1.3",".",".",".",".",".",".",".",".","."
"Fund of Theatrical Design","130
001","18","3.139","50.0","11.1","5.6","16.7","5.6","5.6","5.6",".",".",".",".",".",".",".",".","."
"Voice1 Effective Communication","140
001","17","3.853","82.4","11.8",".","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"","150
001","15","3.800","86.7",".","6.7",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"","150
002","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","150
003","20","3.875","90.0",".","5.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"","150
004","17","3.971","94.1","5.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Acting I: Intro to Acting","Course Total","70","3.914","92.9","1.4","2.9","1.4","1.4",".",".",".",".",".",".",".",".",".",".","."
"Technical Theatre Fundamentals","160
001","19","3.895","94.7",".",".",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"","200
001","30","3.867","83.3","6.7","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","200
002","30","3.667","66.7","16.7","10.0","3.3",".","3.3",".",".",".",".",".",".",".",".",".","."
"","200
003","30","3.638","70.0","10.0","3.3",".","13.3",".",".",".",".",".",".",".",".","3.3",".","."
"","200
004","30","3.983","96.7","3.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","200
005","30","3.717","80.0","3.3","13.3",".",".",".","3.3",".",".",".",".",".",".",".",".","."
"","200
006","30","3.883","90.0","3.3","3.3",".","3.3",".",".",".",".",".",".",".",".",".",".","."
"Acting Skills for Life","Course Total","180","3.792","81.1","7.2","6.7","0.6","2.8","0.6","0.6",".",".",".",".",".",".","0.6",".","."
"Undergrad Topics-Theatre&Drama","219
001","12","3.917","91.7",".","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Scenic Studio Practicum","220
001","16","4.000","81.3",".",".",".",".",".",".",".",".",".",".",".","18.8",".",".","."
"Costume Studio Practicum","221
001","15","3.786","73.3","13.3",".",".","6.7",".",".",".",".",".",".",".","6.7",".",".","."
"Light & Sound Studio Practicum","222
001","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","250
001","7","3.857","85.7",".","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","250
002","8","3.375","50.0","25.0",".",".","25.0",".",".",".",".",".",".",".",".",".",".","."
"Fundamentals of Acting","Course Total","15","3.600","66.7","13.3","6.7",".","13.3",".",".",".",".",".",".",".",".",".",".","."
"Video Games as Performance I","256
001","53","3.575","77.4","3.8","5.7","5.7","1.9",".","5.7",".",".",".",".",".",".",".",".","."
"Producing Theatre","260
001","23","3.261","60.9","8.7","4.3","8.7","4.3","8.7","4.3",".",".",".",".",".",".",".",".","."
"","262
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","262
002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Backstage Practicum","Course Total","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fundamentals of Stagecraft","270
001","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Material Culture for Design","328
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Lit in Transl-Henrik Ibsen","335
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Fundamentals of Improvisation","341
001","16","3.875","81.3","12.5","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","357
001","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","357
002","20","3.775","80.0","10.0",".","5.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"Intro Theatre-Cultrl&Soc Aware","Course Total","27","3.815","81.5","11.1",".","3.7","3.7",".",".",".",".",".",".",".",".",".",".","."
"","360
101","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","360
102","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","360
111","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","360
112","3","***","","","","","","","","","",".",".",".",".",".",".","."
