"COMPUTER SCIENCES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"266
COMP SCI","","","","","","","","","","","","","","","","","","","",""
"699","164","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","170","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","182","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","187","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","202","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","54","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"702","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"702","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"702","035","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"702","091","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"702","134","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"702","142","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"702","144","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"702","148","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"702","156","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"702","162","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"702","163","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"702","165","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"702","170","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Graduate Cooperative Education","Course Total","","21","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Methods of Computatnl Math II
715","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Nonlinear Optimization I
726","001","","20","3.350","30.0","40.0","25.0",".",".",".","5.0",".",".",".",".",".",".",".",".","."
"Integer Optimization
728","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Nonlinear Optimization II
730","001","","11","3.591","45.5","27.3","27.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Distributed Systems
739","001","","40","3.800","65.0","30.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"VLSI Systems Design
755","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Computr Architecture II
757","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"759","001","","59","3.965","89.8","6.8",".",".",".",".",".","3.4",".",".",".",".",".",".",".","."
"759","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"HPC for Apps in Engr","Course Total","","60","3.966","90.0","6.7",".",".",".",".",".","3.3",".",".",".",".",".",".",".","."
"Machine Learning
760","001","","59","3.612","49.2","28.8","16.9",".","3.4",".",".","1.7",".",".",".",".",".",".",".","."
"Mathematical Machine Learning
761","001","","9","4.000","88.9",".",".",".",".",".",".",".",".",".",".",".",".",".","11.1","."
"Trustworthy AI
763","001","","60","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Computer Vision
766","001","","53","3.894","81.1","13.2","3.8",".",".",".",".","1.9",".",".",".",".",".",".",".","."
"Comp Mthds for Med Image Anlys
767","001","","11","3.636","45.5","36.4","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Data Explore, Clean & Integrat
774","001","","67","3.773","71.6","9.0","17.9",".",".",".",".","1.5",".",".",".",".",".",".",".","."
"Advanced Bioinformatics
776","001","","11","3.909","81.8","18.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Foundations of Data Management
784","001","","20","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Algorithms
787","001","","22","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"790","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
