"MICROBIOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"192
MICROBIO","","","","","","","","","","","","","","","","","","","",""
"551","004","","12","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"551","005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Capstone Rsch Proj Microbio","Course Total","","54","3.861","75.9","20.4","3.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Microbial Bioinformatics
657","001","","42","3.798","71.4","26.2",".",".",".","2.4",".",".",".",".",".",".",".",".",".","."
"Senior Honors Thesis
681","102","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis
682","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","017","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","020","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","091","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","096","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","098","","10","3.875","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","099","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","100","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","31","3.964","93.5","6.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar
731","001","","42","3.893","85.7","7.1","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Problems in Microbiology
811","001","","16","3.813","93.8",".",".",".",".","6.3",".",".",".",".",".",".",".",".",".","."
"875","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"875","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"875","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"875","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"875","007","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"875","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"875","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"875","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"875","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","Course Total","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"899","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"899","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"899","096","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","3","***","","","","","","","","","","","","","","","",""
"990","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","6","",".",".",".",".",".",".",".","33.3",".",".",".","66.7",".",".",".","."
"990","011","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","017","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"July 16, 2026","","","","","","","","","","","","","","","","","","","","Page 9 of 493"
