"","990
077","1","***","","","","","","","","","","","","",".",".","",".",".","",".",".","."
"","990
083","2","***","","","","","","","","","","","","",".",".","",".",".","",".",".","."
"","990
092","1","***","","","","","","","","","","","","",".",".","",".",".","",".",".","."
"Research","Course Total","33","",".",".",".",".",".","",".","",".","87.9","",".",".","",".","12.1","",".",".",".","."
"703
PATH-BIO","Dept. Total","527","3.823","67.9","10.1","5.3","0.6","0.4","",".","",".","15.0","",".",".","",".","0.8","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"703
PATH-BIO","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","1","***","","","","","","","","","","","","",".","",".",".","",".",".",".","."
"Sophomore","","2","***","","","","","","","","","","","","",".","",".",".","",".",".",".","."
"Junior","","10","3.714","70.0",".","20.0",".",".","",".","",".","10.0","",".",".","",".",".","",".",".",".","."
"Senior","","18","3.786","77.8","16.7",".",".","5.6","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Undergraduates","","31","3.783","77.4","9.7","6.5",".","3.2","",".","",".","3.2","",".",".","",".",".","",".",".",".","."
"Special","","2","***","","","","","","","","","","","","",".","",".",".","",".",".",".","."
"Graduate","","67","3.940","49.3",".","3.0",".",".","",".","",".","41.8","",".",".","",".","6.0","",".",".",".","."
"Prof Yr 1","","2","***","","","","","","","","","","","","",".","",".",".","",".",".",".","."
"Prof Yr 2","","270","3.812","80.4","12.6","5.9","0.7","0.4","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Prof Yr 3","","100","3.822","74.0","16.0","8.0","1.0",".","",".","",".","1.0","",".",".","",".",".","",".",".",".","."
"Prof Yr 4","","55","4.000","16.4",".",".",".",".","",".","",".","83.6","",".",".","",".",".","",".",".",".","."
"Professionals","","427","3.821","70.5","11.7","5.6","0.7","0.2","",".","",".","11.2","",".",".","",".",".","",".",".",".","."
"","Dept. Total","527","3.823","67.9","10.1","5.3","0.6","0.4","",".","",".","15.0","",".",".","",".","0.8","",".",".",".","."
