"PHARMACEUTICAL SCIENCES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"718
PHM SCI","","","","","","","","","","","","","","","","","","","",""
"Tiny Earth Genomics","254
001","","16","3.844","81.3","12.5",".","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"Biol Interactions w/ Materials","430
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","493
002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","493
003","","7","3.786","71.4","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","493
004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Selected Topics-Pharm Sci","Course Total","","10","3.850","80.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pharmacology Princpls & Applic","510
001","","19","3.737","63.2","21.1","15.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pharmacology II","522
001","","118","3.614","58.5","16.1","17.8","5.1","2.5",".",".",".",".",".",".",".",".",".",".","."
"Medicinal Chemistry I","531
001","","134","3.284","39.6","20.1","20.1","6.7","9.7","3.0","0.7",".",".",".",".",".",".",".",".","."
"Medicinal Chemistry II","532
001","","123","3.512","46.3","25.2","17.1","7.3","4.1",".",".",".",".",".",".",".",".",".",".","."
"Pharm Calc & Compounding","541
001","","132","3.674","56.1","24.2","18.9",".","0.8",".",".",".",".",".",".",".",".",".",".","."
"Mol & Cell Principles in Pharm","581
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Toxicology II","626
001","","11","3.864","81.8","9.1","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pharmacol & Toxicology Seminar","679
001","","40","3.975","97.5",".","2.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
016","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
036","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
037","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
049","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
053","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
096","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
098","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","","21","3.978","90.5","4.8",".",".",".",".",".",".",".",".",".",".",".",".","4.8","."
"Pharm Sci Grant Writing","741
001","","9","4.000","88.9",".",".",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"","751
001","","22","3.857","90.9",".",".",".",".","4.5",".",".",".",".",".",".","4.5",".",".","."
"","751
002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Introduction to Reg Practice","Course Total","","27","3.885","92.6",".",".",".",".","3.7",".",".",".",".",".",".","3.7",".",".","."
"","753
001","","27","3.778","85.2","7.4","3.7",".",".",".","3.7",".",".",".",".",".",".",".",".","."
"","753
002","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Proj Mgmt in Drug Dev","Course Total","","34","3.824","88.2","5.9","2.9",".",".",".","2.9",".",".",".",".",".",".",".",".","."
"","754
001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","754
002","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Business Tools Phm Scientists","Course Total","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lab and Instrumentation","755
001","","12","3.875","83.3","8.3","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","756
001","","10","3.889","80.0",".","10.0",".",".",".",".",".",".",".",".",".","10.0",".",".","."
"","756
002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro Data Analyses Drug Dev","Course Total","","11","3.800","72.7",".","18.2",".",".",".",".",".",".",".",".",".","9.1",".",".","."
"Intro to Drug Development","757
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Trends in Drug Disc/Dev","759
001","","26","3.846","84.6","7.7","3.8",".","3.8",".",".",".",".",".",".",".",".",".",".","."
"","760
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
