"FOREST AND WILDLIFE ECOLO Section","","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"396
F&W ECOL","","","","","","","","","","","","","","","","","","","","",""
"","299","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","026","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","052","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","055","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","058","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","059","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","","Course Total","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Forest Measurements","300","001","","17","3.088","23.5",".","58.8","5.9","11.8",".",".",".",".",".",".",".",".",".",".","."
"Forest Operations","305","002","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Terr Vertbrt:Life Hist&Ecol","306","001","","65","3.195","33.8","24.6","13.8","7.7","13.8","4.6",".","1.5",".",".",".",".",".",".",".","."
"Intro Envir Remote Sensing","371","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","375","001","","6","3.833","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","375","002","","7","3.250","42.9",".",".",".",".","14.3",".","42.9",".",".",".",".",".",".",".","."
"","375","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","375","004","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","","Course Total","","19","3.674","68.4",".","10.5",".",".","5.3",".","15.8",".",".",".",".",".",".",".","."
"Princ-Wildlife Management","379","001","","55","3.583","61.8","12.7","9.1","7.3","7.3",".",".","1.8",".",".",".",".",".",".",".","."
"Data and GIS Tools for Ecology","395","001","","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Silviculture","410","001","","11","3.286","18.2","27.3","36.4",".","9.1",".",".","9.1",".",".",".",".",".",".",".","."
"Practices of Silviculture","411","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Trapping in Wildlife Mgmt","420","001","","29","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Decisn Meth-Nat Resrc Mangr","430","001","","13","3.423","38.5","38.5",".","15.4","7.7",".",".",".",".",".",".",".",".",".",".","."
"Disturbance Ecology","448","001","","53","3.775","71.7","13.2","7.5",".","3.8",".",".","3.8",".",".",".",".",".",".",".","."
"Disturb Ecol Lab: Herbiv/Fire","449","001","","20","3.950","95.0",".","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Environmental Data Science","458","001","","39","3.949","94.9","2.6",".","2.6",".",".",".",".",".",".",".",".",".",".",".","."
"General Ecology","460","001","","11","3.000","18.2","27.3","36.4","9.1",".",".","9.1",".",".",".",".",".",".",".",".","."
"Conservation Biology","516","001","","6","3.083","16.7","16.7","50.0",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"Ornithology","520","001","","18","3.000","27.8","16.7","27.8","5.6","16.7",".","5.6",".",".",".",".",".",".",".",".","."
"","521","001","","9","3.722","55.6","33.3","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","521","002","","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","521","003","","9","3.722","77.8",".","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"Birds of Southern Wisconsin","","Course Total","","26","3.769","69.2","19.2","7.7","3.8",".",".",".",".",".",".",".",".",".",".",".","."
"Natural Resource Economics","531","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Stat Meth for Bioscience II","572","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Wildlife Research Capstone","599","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Animal Population Dynamics","655","001","","41","3.085","24.4","24.4","24.4","7.3","14.6","4.9",".",".",".",".",".",".",".",".",".","."
"Senior Honors Thesis","682","055","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","691","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","044","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"July 16, 2026","","","","","","","","","","","","","","","","","","","","","Page 21 of 493"
