"SOCIAL WORK","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"896
SOC WORK","","","","","","","","","","","","","","","","","","",""
"So You Want to Chng the World?","100
001","76","3.342","43.4","28.9","18.4",".","1.3","1.3","6.6",".",".",".",".",".",".",".",".","."
"Health Care: Intrdis Appr","105
001","105","3.581","51.4","31.4","8.6","4.8","1.9","1.0","1.0",".",".",".",".",".",".",".",".","."
"Intro-Field of Social Work","205
001","70","3.571","60.0","15.7","15.7","4.3",".","4.3",".",".",".",".",".",".",".",".",".","."
"Introduction-Social Policy","206
001","50","3.080","14.0","32.0","24.0","20.0","8.0","2.0",".",".",".",".",".",".",".",".",".","."
"Powr, Possiblty, & Soc Justice","316
001","25","3.720","52.0","40.0","8.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401
001","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401
002","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401
003","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401
004","13","3.962","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401
005","9","3.389","77.8",".",".","11.1",".",".","11.1",".",".",".",".",".",".",".",".","."
"","401
023","12","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401
041","12","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401
043","14","3.964","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401
101","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Field Pract/Integrat Smr II","Course Total","110","3.932","94.5","3.6",".","0.9",".",".","0.9",".",".",".",".",".",".",".",".","."
"Genlst Pract w Comms & Orgs","442
010","13","3.846","69.2","30.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Substance Use Disorders","453
001","67","3.828","73.1","19.4","7.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Human Behavior & Environmnt","457
001","64","3.206","25.0","26.6","23.4","17.2","4.7",".","1.6",".",".",".",".",".","1.6",".",".","."
"Interprof Collab Pract in HIV","467
001","7","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Housing Precarity&Social Polcy","578
001","16","3.781","62.5","31.3","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","612
001","29","3.983","96.6","3.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","612
002","19","3.737","63.2","31.6",".",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"","612
003","35","3.957","94.3","2.9","2.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Psychopathology in Gnlst Pract","Course Total","83","3.916","88.0","9.6","1.2",".","1.2",".",".",".",".",".",".",".",".",".",".","."
"Sex Trafficking & Sex Trading","627
001","24","3.792","70.8","16.7","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Soc Work in Am Indian Communit","636
001","13","3.654","61.5","23.1",".","15.4",".",".",".",".",".",".",".",".",".",".",".","."
"SW Prac w/ LGBTQIA2S+","639
001","14","3.964","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ind&Comm","","","","","","","","","","","","","","","","","","",""
"Issues in Dev. Disabilities","644
010","45","3.667","71.1","15.6","2.2","6.7","2.2",".","2.2",".",".",".",".",".",".",".",".","."
"","646
001","22","3.909","81.8","18.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","646
010","26","3.923","88.5","7.7","3.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Child Abuse and Neglect","Course Total","48","3.917","85.4","12.5","2.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"SW Prac in Palliative Care","648
001","22","3.976","90.9","4.5",".",".",".",".",".","4.5",".",".",".",".",".",".",".","."
"Methods - Social Work Research","650
001","63","3.214","34.9","20.6","20.6","12.7","6.3","3.2","1.6",".",".",".",".",".",".",".",".","."
"Foster & Kinship Care","656
001","27","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Contemp Soc Welfare","675
001","21","3.850","81.0",".","14.3",".",".",".",".",".",".",".",".",".","4.8",".",".","."
"","699
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
008","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
009","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
030","1","***","","","","","","","","","",".",".",".",".",".",".","."
