"Fourth Semester Hebrew","202
001","","15","3.679","53.3","20.0","20.0",".","","",".","",".","",".","6.7",".","",".",".","",".","",".","",".",".","."
"Intro to Hebrew Literature","302
001","","7","4.000","100.0",".",".",".","","",".","",".","",".",".",".","",".",".","",".","",".","",".",".","."
"Topics in Modern Hebrew Lit II","402
001","","2","***","","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"442
HEBR-MOD","Dept. Total","","37","3.807","75.7","8.1","13.5","",".","",".","",".","",".","2.7","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","","C","","D","","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","",""
"442
HEBR-MOD","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","","1","***","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Sophomore","","","13","3.875","84.6","7.7","7.7","",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Junior","","","10","3.641","60.0","10.0","30.0","",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Senior","","","9","3.824","77.8","11.1","11.1","",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","","33","3.790","75.8","9.1","15.2","",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Special","","","3","***","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Graduate","","","1","***","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"","Dept. Total","","37","3.807","75.7","8.1","13.5","",".","",".","",".","",".","2.7","",".",".","",".","",".","",".",".",".","."
