"ELECTRICAL AND COMPUTER E Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"320
E C E","","","","","","","","","","","","","","","","","","","",""
"699","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","024","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","076","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","093","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","115","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","","12","3.839","83.3","8.3",".","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"Grad Cooperative Educ Program
702","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"711","001","","12","3.750","58.3","33.3","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"711","003","","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Dynamcs& Control-AC Drives","Course Total","","32","3.906","84.4","12.5","3.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Solid State Power Conversn
712","001","","10","3.850","90.0",".",".","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"On-Line Control-Power Sys
723","001","","8","3.857","75.0",".","12.5",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"Wireless Communications
736","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Microwave Circuits&Devices
744","001","","12","3.583","41.7","33.3","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Embedded Computing Systems
751","001","","31","3.742","61.3","25.8","12.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"VLSI Systems Design
755","001","","20","3.775","80.0","5.0","10.0",".","5.0",".",".",".",".",".",".",".",".",".",".","."
"Adv Computr Architecture II
757","001","","31","3.952","93.5","3.2","3.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"759","001","","32","3.969","93.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"759","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"HPC for Apps in Engr","Course Total","","34","3.971","94.1","5.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Machine Learning
760","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Mathematical Machine Learning
761","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Trustworthy AI
763","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Computer Vision
766","001","","6","3.333","83.3",".",".",".",".",".","16.7",".",".",".",".",".",".",".",".","."
"790","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"790","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","017","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","037","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","038","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"790","058","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","060","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"July 16, 2026","","","","","","","","","","","","","","","","","","","Page 136 of 493",""
