"OPERATIONS & TECHNOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"238
OTM","","","","","","","","","","","","","","","","","","",""
"","300
001","134","3.646","59.7","23.1","9.7","4.5","2.2",".","0.7",".",".",".",".",".",".",".",".","."
"","300
002","137","3.712","70.8","13.1","10.2","2.2","2.9",".","0.7",".",".",".",".",".",".",".",".","."
"","300
003","132","3.701","68.2","14.4","9.8","4.5","3.0",".",".",".",".",".",".",".",".",".",".","."
"","300
100","53","3.558","54.7","22.6","9.4","3.8","5.7","1.9",".",".",".",".",".",".",".","1.9",".","."
"Operations & Supply Chain Mgmt","Course Total","456","3.671","64.9","17.5","9.9","3.7","3.1","0.2","0.4",".",".",".",".",".",".","0.2",".","."
"Business Process Improvement","351
001","23","3.478","34.8","43.5","17.4",".",".","4.3",".",".",".",".",".",".",".",".",".","."
"","421
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","421
002","15","3.767","60.0","33.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fundamentls-Supply Chain Mgmt","Course Total","18","3.750","55.6","38.9","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Procurement and Supply Mgmt","423
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","427
001","16","3.719","56.3","31.3","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","427
002","9","3.389","44.4","22.2","11.1","11.1","11.1",".",".",".",".",".",".",".",".",".",".","."
"Info Tech in Supply Chains","Course Total","25","3.600","52.0","28.0","12.0","4.0","4.0",".",".",".",".",".",".",".",".",".",".","."
"Global Experience: Sply Chn Mg","429
001","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","452
001","45","3.864","75.6","17.8","4.4",".",".",".",".","2.2",".",".",".",".",".",".",".","."
"","452
002","39","3.692","64.1","20.5","10.3",".","5.1",".",".",".",".",".",".",".",".",".",".","."
"","452
004","18","3.639","50.0","33.3","11.1","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"Project Management","Course Total","102","3.757","66.7","21.6","7.8","1.0","2.0",".",".","1.0",".",".",".",".",".",".",".","."
"Operations Analytics","453
001","53","3.519","28.3","50.9","17.0","3.8",".",".",".",".",".",".",".",".",".",".",".","."
"","701
001","34","3.676","61.8","29.4","5.9",".",".",".","2.9",".",".",".",".",".",".",".",".","."
"","701
002","41","3.841","70.7","26.8","2.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Product Management","Course Total","75","3.767","66.7","28.0","4.0",".",".",".","1.3",".",".",".",".",".",".",".",".","."
"","702
001","34","3.824","67.6","29.4","2.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","702
050","56","3.705","69.6","7.1","17.9","5.4",".",".",".",".",".",".",".",".",".",".",".","."
"Digital Strategy","Course Total","90","3.750","68.9","15.6","12.2","3.3",".",".",".",".",".",".",".",".",".",".",".","."
"Supply Chain Analytics","714
001","23","3.761","56.5","39.1","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Strategic Global Sourcing","724
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Info Tech in Supply Chains","727
001","31","3.806","64.5","32.3","3.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Global Supply Chain","737
050","12","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Project Management","752
051","19","3.579","36.8","42.1","21.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
001","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","12","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"TSPM Applied Learning","777
001","21","3.976","95.2","4.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990
036","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
144","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
216","1","***","","","","","","","","","",".",".",".",".",".",".","."
"PhD Thesis-Operatns&Inf Mgt","Course Total","3","***","","","","","","","","","","","","","","","",""
