"","990
035","3","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"","990
037","1","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"","990
040","4","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"Individual Research","Course Total","8","",".",".",".",".",".",".",".","100.0","",".",".","",".","",".",".",".",".","."
"400
FRENCH","Dept. Total","605","3.703","64.8","20.5","6.6","2.3","1.5","1.0","0.3","2.5","",".",".","",".","",".","0.3",".","0.2","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"400
FRENCH","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","23","3.366","43.5","30.4","13.0",".","8.7",".","4.3",".","",".",".","",".","",".",".",".",".","."
"Sophomore","","145","3.773","67.6","23.4","4.8","3.4","0.7",".",".",".","",".",".","",".","",".",".",".",".","."
"Junior","","185","3.653","65.4","20.5","6.5","2.7","1.6","2.7",".",".","",".",".","",".","",".","0.5",".",".","."
"Senior","","189","3.738","69.8","16.9","7.4","2.1","1.6",".","0.5","1.1","",".",".","",".","",".","0.5",".",".","."
"Undergraduates","","542","3.702","66.6","20.5","6.6","2.6","1.7","0.9","0.4","0.4","",".",".","",".","",".","0.4",".",".","."
"Special","","12","3.500","50.0",".",".",".",".","8.3",".","33.3","",".",".","",".","",".",".",".","8.3","."
"Graduate","","49","3.752","49.0","24.5","8.2",".",".",".",".","18.4","",".",".","",".","",".",".",".",".","."
"Prof Yr 3","","2","***","","","","","","","","","","",".","",".","",".",".",".",".","."
"Professionals","","2","***","","","","","","","","","","",".","",".","",".",".",".",".","."
"","Dept. Total","605","3.703","64.8","20.5","6.6","2.3","1.5","1.0","0.3","2.5","",".",".","",".","",".","0.3",".","0.2","."
