"CONSUMER SCIENCE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"271
CNSR SCI","","","","","","","","","","","","","","","","","","",""
"","564
002","59","2.458","8.5","11.9","18.6","22.0","25.4","8.5","5.1",".",".",".",".",".",".",".",".","."
"","564
003","50","2.410","12.0","6.0","12.0","32.0","22.0","12.0","4.0",".",".",".",".",".",".",".",".","."
"Retail Financial Analysis","Course Total","167","2.659","14.4","17.4","15.6","22.2","18.6","8.4","3.6",".",".",".",".",".",".",".",".","."
"","567
001","33","3.576","51.5","24.2","15.2","6.1","3.0",".",".",".",".",".",".",".",".",".",".","."
"","567
002","63","3.341","20.6","42.9","28.6","3.2","3.2","1.6",".",".",".",".",".",".",".",".",".","."
"Product Development Strategies","Course Total","96","3.422","31.3","36.5","24.0","4.2","3.1","1.0",".",".",".",".",".",".",".",".",".","."
"Consumer Policy","579
001","8","3.063","25.0","37.5","12.5",".","12.5","12.5",".",".",".",".",".",".",".",".",".","."
"Advanced Consumer Finance","627
001","42","3.095","19.0","33.3","23.8","14.3","4.8",".","4.8",".",".",".",".",".",".",".",".","."
"","635
001","39","3.108","33.3","17.9","10.3","12.8","15.4","5.1",".",".",".",".",".",".",".",".","5.1","."
"","635
002","45","3.388","48.9","8.9","6.7","15.6","6.7","2.2",".","2.2",".",".",".",".",".",".","8.9","."
"","635
003","41","3.707","56.1","34.1","7.3",".","2.4",".",".",".",".",".",".",".",".",".",".","."
"","635
103","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Estate Plng for Fincl Planners","Course Total","129","3.422","47.3","19.4","8.5","9.3","7.8","2.3",".","0.8",".",".",".",".",".",".","4.7","."
"","657
002","65","3.823","72.3","23.1","3.1",".","1.5",".",".",".",".",".",".",".",".",".",".","."
"","657
003","65","3.742","67.7","16.9","7.7","6.2",".",".",".",".",".",".",".",".","1.5",".",".","."
"","657
004","65","3.654","60.0","24.6","9.2","4.6",".",".","1.5",".",".",".",".",".",".",".",".","."
"","657
005","63","3.849","73.0","23.8","3.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Consumer Behavior","Course Total","258","3.767","68.2","22.1","5.8","2.7","0.4",".","0.4",".",".",".",".",".","0.4",".",".","."
"Household Risk Management","665
001","49","3.684","81.6","10.2",".",".","2.0","2.0","4.1",".",".",".",".",".",".",".",".","."
"","675
001","42","3.833","76.2","14.3","9.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","675
002","35","3.657","60.0","22.9","14.3",".",".","2.9",".",".",".",".",".",".",".",".",".","."
"Family Financial Counseling","Course Total","77","3.753","68.8","18.2","11.7",".",".","1.3",".",".",".",".",".",".",".",".",".","."
"","699
022","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
040","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","5","***","","","","","","","","","","","","","","","",""
"Household Finance & Well-Being","775
001","8","3.625","25.0","12.5","12.5",".",".",".",".",".",".",".",".",".","50.0",".",".","."
"Causal Models Hshld Cnsr Res","778
001","15","3.821","60.0","33.3",".",".",".",".",".","6.7",".",".",".",".",".",".",".","."
"Health & Financial Well-Being","820
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Consumer Behavior","888
001","15","3.731","46.7","33.3","6.7",".",".",".",".","13.3",".",".",".",".",".",".",".","."
"Cnsr Sci Graduate Workshop","920
001","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990
020","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
021","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
080","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
081","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","5","***","","","","","","","","","","","","","","","",""
