"L&S","","","","","","","","","","","","","","","","","","","",""
"CHEMISTRY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"224
CHEM","","","","","","","","","","","","","","","","","","","",""
"224
CHEM","Dept. Total","6352","3.043","29.9","14.4","21.8","9.1","12.7","4.2","1.0","5.1","0.1","1.2","",".","0.1","0.1","0.1","0.0","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"224
CHEM","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","341","2.747","16.7","14.1","26.1","14.4","16.7","10.6","0.9",".",".",".","",".",".","0.3","0.3",".","."
"Sophomore","","2088","3.029","25.9","17.3","25.8","11.1","14.5","4.4","0.8",".",".",".","",".",".","0.2",".",".","."
"Junior","","2003","3.009","28.8","13.5","26.1","9.8","16.3","4.0","1.2",".",".",".","",".",".","0.0","0.1",".","."
"Senior","","1154","3.150","38.9","17.4","18.2","8.4","10.3","4.9","1.5",".",".",".","",".","0.1","0.1","0.2",".","."
"Undergraduates","","5586","3.021","29.1","15.8","24.4","10.3","14.4","4.7","1.1",".",".",".","",".","0.0","0.1","0.1",".","."
"Special","","27","3.121","40.7","14.8","22.2","3.7","11.1","7.4",".",".",".",".","",".",".",".",".",".","."
"Graduate","","887","3.804","46.7","3.7","2.1","0.3",".","0.1",".","36.4","0.7","8.8","",".","0.9","0.1",".","0.1","."
"","Dept. Total","6500","3.043","31.5","14.1","21.3","8.9","12.4","4.1","1.0","5.0","0.1","1.2","",".","0.1","0.1","0.1","0.0","."
