"","","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","","",""
"International Acad Prgms-SAB","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"SAB
STDYABRD","","","","","","","","","","","","","","","","","","","",""
"Topics in Humanities","106","00N","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Interdivisional Topics","176","00K","1","***","","","","","","","","","",".",".",".",".",".",".","."
"1st Semester Foreign Language","190","00D","3","***","","","","","","","","","",".",".",".",".",".",".","."
"3rd Semester Foreign Language","290","00J","1","***","","","","","","","","","",".",".",".",".",".",".","."
"4th Semester Foreign Language","295","00A","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in Natural Science","325","00H","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","336","00Q","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","336","01G","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in Social Science","","Course Total","2","***","","","","","","","","","","","","","","","",""
"","370","00F","34","3.939","88.2","11.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","370","01D","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Interdivisional Topics","","Course Total","35","3.939","88.6","11.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"5th Semester Foreign Language","390","00A","1","***","","","","","","","","","",".",".",".",".",".",".","."
"SAB
STDYABRD","","Dept. Total","48","3.938","83.3","10.4",".",".",".",".",".","6.3",".",".",".",".",".",".",".","."
