"PHARMACY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"726
PHARMACY","","","","","","","","","","","","","","","","","","","",""
"Exploring Pharmacy II
126","001","","29","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pharmacy Exploration Seminar
225","001","","52","3.981","96.2","3.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pharm Practice Experiences I
426","001","","132","3.981","98.5",".","0.8","0.8",".",".",".",".",".",".",".",".",".",".",".","."
"Pulmonary Science Therapeutics
435","001","","133","3.763","67.7","19.5","10.5","2.3",".",".",".",".",".",".",".",".",".",".",".","."
"Prof Develop and Engagement 1
462","001","","133","3.974","96.2","2.3","1.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prof Develop & Engagement 2
562","001","","124","3.972","95.2","4.0","0.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Psychedelic History
564","001","","14","3.923","78.6","14.3",".",".",".",".",".","7.1",".",".",".",".",".",".",".","."
"Pharmacokinetics
621","001","","134","3.243","26.1","25.4","28.4","12.7","6.7","0.7",".",".",".",".",".",".",".",".",".","."
"632","001","","13","3.846","76.9","15.4","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"632","002","","19","3.861","73.7","15.8","5.3",".",".",".",".",".",".",".",".",".","5.3",".",".","."
"Neuroscience of Psychedelics","Course Total","","32","3.855","75.0","15.6","6.3",".",".",".",".",".",".",".",".",".","3.1",".",".","."
"640","001","","50","3.946","86.0","4.0",".","2.0",".",".",".","8.0",".",".",".",".",".",".",".","."
"640","002","","24","3.833","79.2","16.7",".",".","4.2",".",".",".",".",".",".",".",".",".",".","."
"Appropriate Use of Abused Drug","Course Total","","74","3.907","83.8","8.1",".","1.4","1.4",".",".","5.4",".",".",".",".",".",".",".","."
"Prof Develop & Engagement 3
662","001","","93","3.806","71.0","21.5","5.4","2.2",".",".",".",".",".",".",".",".",".",".",".","."
"Veterinary Therapeutics
670","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Psychedelics Science Society
671","001","","22","3.763","77.3","4.5",".",".",".",".","4.5","9.1",".",".",".",".","4.5",".",".","."
"699","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","022","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","055","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","067","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","082","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","085","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","088","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","090","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"CNS Drug Principles II
771","001","","31","3.839","77.4","16.1","3.2","3.2",".",".",".",".",".",".",".",".",".",".",".","."
"801","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"801","002","","9","3.667","66.7",".","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Bioethics & Sci Integrity","Course Total","","13","3.769","76.9",".","23.1",".",".",".",".",".",".",".",".",".",".",".",".","."
