"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"MED HIST","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","5","***","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Sophomore","39","3.615","59.0","23.1","7.7","7.7",".","2.6","",".","",".","",".",".","",".","",".","",".",".",".","."
"Junior","32","3.438","40.6","31.3","12.5","6.3","9.4",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Senior","65","3.769","60.0","33.8","6.2",".",".",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","141","3.656","56.0","29.8","7.8","3.5","2.1","0.7","",".","",".","",".",".","",".","",".","",".",".",".","."
"Special","4","***","","","","","","","","","","","","",".","",".","",".","",".","75.0",".","."
"Graduate","1","***","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Prof Yr 1","23","",".",".",".",".",".",".","",".","100.0","","",".",".","",".","",".","",".",".",".","."
"Prof Yr 3","14","",".",".",".",".",".",".","",".","100.0","","",".",".","",".","",".","",".",".",".","."
"Prof Yr 4","41","",".",".",".",".",".",".","",".","100.0","","",".",".","",".","",".","",".",".",".","."
"Professionals","78","",".",".",".",".",".",".","",".","100.0","","",".",".","",".","",".","",".",".",".","."
