"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","",""
"VET","","","","","","","","","","","","","","","","","","","","","",""
"VET","College Total","4067","3.747","37.8","4.4","3.8","0.5","0.5","0.0","",".","52.5","",".",".","",".","0.1","0.4",".",".","."
"Summary by College/School","","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","I","NW","NR","Other"
"VET","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"Freshmen","","1","***","","","","","","","","","","","",".","",".",".",".",".",".","."
"Sophomore","","5","***","","","","","","","","","","","",".","",".",".",".",".",".","."
"Junior","","22","3.875","81.8",".","9.1",".",".",".","",".","9.1","",".",".","",".",".",".",".",".","."
"Senior","","32","3.872","84.4","9.4",".",".","3.1",".","",".","3.1","",".",".","",".",".",".",".",".","."
"Undergraduates","","60","3.882","83.3","5.0","3.3",".","1.7",".","",".","6.7","",".",".","",".",".",".",".",".","."
"Special","","27","",".",".",".",".",".",".","",".","100.0","",".",".","",".",".",".",".",".","."
"Graduate","","94","3.950","40.4",".","2.1",".",".",".","",".","51.1","",".",".","",".","6.4",".",".",".","."
"Prof Yr 1","","885","4.000","0.1",".",".",".",".",".","",".","99.0","",".",".","",".",".","0.9",".",".","."
"Prof Yr 2","","828","3.767","59.8","9.8","5.1","1.0","0.7",".","",".","22.6","",".",".","",".",".","1.1",".",".","."
"Prof Yr 3","","1284","3.625","48.5","7.2","8.3","0.9","0.9","0.1","",".","34.0","",".",".","",".",".",".",".",".","."
"Prof Yr 4","","889","4.000","37.3",".",".",".",".",".","",".","62.7","",".",".","",".",".",".",".",".","."
"Professionals","","3886","3.739","37.3","4.5","3.8","0.5","0.5","0.0","",".","52.9","",".",".","",".",".","0.4",".",".","."
"","College Total","4067","3.747","37.8","4.4","3.8","0.5","0.5","0.0","",".","52.5","",".",".","",".","0.1","0.4",".",".","."
