"TERM : 1264","","","","","Percentage Distribution of Grades","","","","","","","","","","","","","","","","","","","Office of the Registrar","",""
"Spring 2025-2026","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","","","","","",""
"MED","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOMOLECULAR CHEMISTRY","","Section
#","Ave","A","AB","B","BC","","C","","D","","F","","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"758","BMOLCHEM","","","","","","","","","","","","","","","","","","","","","","","","",""
"758","BMOLCHEM","Dept. Total
95","3.807","50.5","3.2","6.3","",".","",".","",".","",".","32.6","",".",".","",".","7.4","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","","C","","D","","F","","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"758","BMOLCHEM","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Sophomore","1","***","","","","","","","","","","","","","","",".","",".",".","",".",".",".","."
