"PLANT PATHOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"766
PL PATH","","","","","","","","","","","","","","","","","","","",""
"Mushrooms
105","001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Plants, Parasites, & People
123","001","","39","3.816","82.1","2.6","5.1","7.7",".",".",".","2.6",".",".",".",".",".",".",".","."
"154","001","","23","3.935","91.3","4.3","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"154","002","","23","3.978","95.7","4.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Antibiotic Discovery Research","Course Total","","46","3.957","93.5","4.3","2.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"299","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","042","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","055","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","5","***","","","","","","","","","","","","","","","",""
"Plant Microbiomes
315","001","","42","3.762","64.3","23.8","11.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fungi
332","001","","7","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Biology of the Fungi
333","001","","7","3.286","57.1",".","14.3",".","28.6",".",".",".",".",".",".",".",".",".",".","."
"Intro to Organic Agriculture
367","001","","8","3.643","50.0","12.5","25.0",".",".",".",".",".",".",".",".",".",".",".","12.5","."
"Ind Study - Organic Agr
499","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Plant-Microbe Interactions
505","001","","11","3.273","27.3","27.3","27.3","9.1","9.1",".",".",".",".",".",".",".",".",".",".","."
"Phylogenet Analysis-Molec Data
563","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Capstone in Plant Pathology
590","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis
681","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis
682","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","060","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pract-Plant Pathology Tchg
799","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics
875","001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar
923","001","","7","4.000","85.7",".",".",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"990","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","015","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","027","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"July 16, 2026","","","","","","","","","","","","","","","","","","","","Page 37 of 493"
