"EDUCATIONAL PSYCHOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"315
ED PSYCH","","","","","","","","","","","","","","","","","","",""
"Art/Sci of Human Flourishing","120
001","15","3.700","66.7","20.0","6.7",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"","301
001","103","3.730","69.9","17.5","7.8","1.0","1.0","1.0","1.0",".",".",".",".",".",".",".","1.0","."
"","301
002","110","3.823","87.3","4.5","2.7","1.8","1.8","0.9","0.9",".",".",".",".",".",".",".",".","."
"","301
003","102","3.931","91.2","3.9","2.9",".","1.0",".",".","1.0",".",".",".",".",".",".",".","."
"How People Learn","Course Total","315","3.827","82.9","8.6","4.4","1.0","1.3","0.6","0.6","0.3",".",".",".",".",".",".","0.3","."
"Human Dev-Infancy&Childhood","320
001","110","3.827","85.5","9.1","0.9",".","1.8","2.7",".",".",".",".",".",".",".",".",".","."
"Human Develop-Adolescence","321
001","141","3.606","63.8","19.1","8.5","4.3",".","2.1","2.1",".",".",".",".",".",".",".",".","."
"Mind, Brain and Education","326
001","78","3.577","53.8","26.9","11.5","1.3","5.1",".","1.3",".",".",".",".",".",".",".",".","."
"Hum Devel Chldhood-Adolescn","331
001","102","3.755","71.6","18.6","4.9","2.9","1.0",".","1.0",".",".",".",".",".",".",".",".","."
"","470
006","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","470
025","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","470
028","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","470
029","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","470
077","8","4.000","87.5",".",".",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"Research Experience Ed Psych","Course Total","35","4.000","97.1",".",".",".",".",".",".",".",".",".",".",".","2.9",".",".","."
"","506
001","28","3.911","82.1","17.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","506
002","16","3.938","93.8",".","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","506
004","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","506
006","12","3.625","83.3","8.3",".",".",".",".","8.3",".",".",".",".",".",".",".",".","."
"","506
008","13","3.885","76.9","23.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","506
015","15","3.933","86.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","506
016","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemp Issues in Ed Psych","Course Total","109","3.899","87.2","11.0","0.9",".",".",".","0.9",".",".",".",".",".",".",".",".","."
"Learning Analytics Theory&Prac","525
001","8","4.000","87.5",".",".",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"Quantitative Ethnography","551
001","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Assessment Analysis","642
001","28","3.821","75.0","17.9","3.6","3.6",".",".",".",".",".",".",".",".",".",".",".","."
"Instruct Coaching Practicum","643
001","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Capstone","695
001","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
006","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
025","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
081","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
083","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Ind Reading-Undergrad","Course Total","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Research in Ed Psyc II","710
001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","711
002","6","3.667","50.0","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","711
005","28","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","711
006","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","711
009","7","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","711
012","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","711
013","13","4.000","84.6",".",".",".",".",".",".",".",".",".",".",".",".",".","15.4","."
"","711
020","2","***","","","","","","","","","",".",".",".",".",".",".","."
"July 16, 2026","","","","","","","","","","","","","","","","","","Page 103 of 493",""
