"NURSING","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"692
NURSING","","","","","","","","","","","","","","","","","","","",""
"Health Prgm Planning, Eval, QI","Course Total","","28","3.875","78.6","17.9","3.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Found Curr Dev&Eval-Hlth Prof
785","003","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Found Teach&Learn in Hlthcare
786","002","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Teach & Learn Healthcare Prac
787","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study
799","098","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Health Equity in Research
800","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Qualitative Design & Methods
804","001","","11","3.818","63.6","36.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"806","001","","25","3.980","96.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"806","004","","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Eval & App Evidence-Based Prac","Course Total","","35","3.971","94.3","5.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"816","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"816","004","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Proseminar in Nursing Research","Course Total","","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Patient-centered Research
818","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"829","010","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"829","020","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"829","040","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"829","060","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Clinical Leadership IV","Course Total","","19","3.974","94.7","5.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Leadrshp Dev & Steward Pract
830","004","","9","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"906","001","","19","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"906","004","","11","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Scholarly Project","Course Total","","30","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","022","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","028","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","070","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","097","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Thesis Research","Course Total","","8","",".",".",".",".",".",".",".","75.0",".",".",".","25.0",".",".",".","."
"999","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","028","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","037","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","042","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","075","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"999","092","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","","11","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
