"","990
039","1","***","","","","","","","","","","","","",".",".","",".",".","",".",".","."
"","990
040","1","***","","","","","","","","","","","","",".",".","",".",".","",".",".","."
"","990
041","1","***","","","","","","","","","","","","",".",".","",".",".","",".",".","."
"Research","Course Total","17","",".",".",".",".","",".",".","",".","52.9","",".",".","",".","47.1","",".",".",".","."
"130
AGROECOL","Dept. Total","197","3.742","59.4","18.8","9.1","1.5","",".","0.5","",".","6.6","",".",".","",".","4.1","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","","D","F","","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"130
AGROECOL","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","1","***","","","","","","","","","","","","",".","",".",".","",".",".",".","."
"Sophomore","","22","3.886","81.8","13.6","4.5",".","",".",".","",".",".","",".",".","",".",".","",".",".",".","."
"Junior","","73","3.704","60.3","28.8","8.2","1.4","",".","1.4","",".",".","",".",".","",".",".","",".",".",".","."
"Senior","","73","3.729","67.1","16.4","13.7","2.7","",".",".","",".",".","",".",".","",".",".","",".",".",".","."
"Undergraduates","","169","3.735","65.7","21.3","10.7","1.8","",".","0.6","",".",".","",".",".","",".",".","",".",".",".","."
"Graduate","","28","3.921","21.4","3.6",".",".","",".",".","",".","46.4","",".",".","",".","28.6","",".",".",".","."
"","Dept. Total","197","3.742","59.4","18.8","9.1","1.5","",".","0.5","",".","6.6","",".",".","",".","4.1","",".",".",".","."
