"ASIAN LANG & CULTURE: LANG Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"186
ASIALANG","","","","","","","","","","","","","","","","","","","",""
"","102
001","","16","3.781","81.3","6.3",".","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"","102
002","","15","3.000","46.7","13.3","13.3",".","13.3",".","13.3",".",".",".",".",".",".",".",".","."
"","102
003","","19","3.816","73.7","15.8","10.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
004","","12","3.750","83.3",".","8.3",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"Second Semester Chinese","Course Total","","62","3.597","71.0","9.7","8.1","3.2","4.8",".","3.2",".",".",".",".",".",".",".",".","."
"","104
001","","12","3.708","75.0","8.3","8.3",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"","104
002","","12","3.625","41.7","41.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","104
003","","15","3.400","33.3","40.0","6.7","13.3","6.7",".",".",".",".",".",".",".",".",".",".","."
"","104
004","","13","3.333","46.2","15.4","15.4",".","7.7","7.7",".","7.7",".",".",".",".",".",".",".","."
"","104
005","","16","3.633","68.8","12.5",".","6.3",".","6.3",".",".",".",".",".",".",".","6.3",".","."
"","104
006","","15","3.500","53.3","13.3","20.0","6.7","6.7",".",".",".",".",".",".",".",".",".",".","."
"Second Semester Japanese","Course Total","","83","3.531","53.0","21.7","10.8","4.8","4.8","2.4",".","1.2",".",".",".",".",".","1.2",".","."
"","106
001","","14","3.786","78.6","7.1","7.1","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"","106
002","","20","3.725","70.0","15.0","10.0",".","5.0",".",".",".",".",".",".",".",".",".",".","."
"","106
003","","12","3.875","83.3","8.3","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Second Semester Korean","Course Total","","46","3.783","76.1","10.9","8.7","2.2","2.2",".",".",".",".",".",".",".",".",".",".","."
"First Semester Elem Japanese","113
001","","17","3.882","82.4","11.8","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Second Semester Asian Language","122
001","","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","124
001","","15","3.700","60.0","20.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","124
002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","124
003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Second Semester Filipino","Course Total","","17","3.618","52.9","17.6","29.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Second Semester Hmong","126
001","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","128
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","128
002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Second Semester Indonesian","Course Total","","3","***","","","","","","","","","","","","","","","",""
"","130
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","130
002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","130
003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Second Semester Thai","Course Total","","6","3.333","16.7","50.0","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"Second Semester Vietnamese","132
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Second Semester Modern Tibetan","136
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","138
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","138
002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Second Semester Persian","Course Total","","7","4.000","85.7",".",".",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"","202
001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","202
002","","17","3.853","76.5","17.6","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","202
003","","9","3.889","88.9",".","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fourth Semester Chinese","Course Total","","33","3.894","84.8","9.1","6.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","204
002","","22","3.614","50.0","27.3","18.2","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"","204
003","","19","3.528","47.4","26.3","5.3","10.5","5.3",".",".","5.3",".",".",".",".",".",".",".","."
