"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","","",""
"AMN","","","","","","","","","","","","","","","","","","","","","","",""
"AMN","College Total","328","3.930","73.8","1.5","1.5","0.3","",".","0.3","0.3","20.7","",".",".","",".","",".","1.2",".",".","0.3"
"Summary by College/School","","#","Ave","A","AB","B","BC","C","","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"AMN","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","17","3.906","76.5","5.9","5.9",".","",".",".",".","11.8","",".",".","",".","",".",".",".",".","."
"Sophomore","","57","3.912","75.4",".",".","1.8","",".",".",".","22.8","",".",".","",".","",".",".",".",".","."
"Junior","","86","3.877","79.1",".","2.3",".","",".","1.2","1.2","12.8","",".",".","",".","",".","3.5",".",".","."
"Senior","","154","3.969","73.4","1.9","0.6",".","",".",".",".","24.0","",".",".","",".","",".",".",".",".","."
"Undergraduates","","314","3.936","75.5","1.3","1.3","0.3","",".","0.3","0.3","20.1","",".",".","",".","",".","1.0",".",".","."
"Special","","11","3.563","27.3","9.1","9.1",".","",".",".",".","36.4","",".",".","",".","",".","9.1",".",".","9.1"
"Graduate","","2","***","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Prof Yr 3","","1","***","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Professionals","","1","4.000","100.0",".",".",".","",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","College Total","328","3.930","73.8","1.5","1.5","0.3","",".","0.3","0.3","20.7","",".",".","",".","",".","1.2",".",".","0.3"
