"GENDER AND WOMEN'S STUDIE Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"963
GEN&WS","","","","","","","","","","","","","","","","","","","",""
"692","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis II","Course Total","","2","***","","","","","","","","","","","","","","","",""
"699","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","2","***","","","","","","","","","","","","","","","",""
"Spec Topics-Gender&Wmn Studies
720","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Research","Course Total","","2","***","","","","","","","","","","","","","","","",""
"Research Methods in GWS
800","001","","15","3.800","66.7","26.7","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Theorizing in GWS
830","001","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Proseminar in GWS
860","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sociological Perspectvs-Gender
904","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar: Feminist Theory
930","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"950","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"950","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Smnr:Topic-Gen & Women","Course Total","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Research & Thesis
990","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","030","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Research","Course Total","","5","***","","","","","","","","","","","","","","","",""
