"STATISTICS","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"932
STAT","","","","","","","","","","","","","","","","","","","",""
"990","124","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","160","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","165","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","175","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","192","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","195","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","200","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","205","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","210","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","215","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","227","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","242","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","261","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","263","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","268","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","270","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","299","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","62","",".",".",".",".",".",".",".","93.5",".",".",".","6.5",".",".",".","."
"992","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"992","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"992","003","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"992","004","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"992","005","","21","4.000","95.2",".",".",".",".",".",".","4.8",".",".",".",".",".",".",".","."
"992","006","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"992","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar","Course Total","","62","4.000","98.4",".",".",".",".",".",".","1.6",".",".",".",".",".",".",".","."
"Statistical Consulting
998","001","","17","3.824","70.6","23.5","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
