"MATHEMATICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"600
MATH","","","","","","","","","","","","","","","","","","",""
"","309
002","20","2.925","30.0","15.0","5.0","30.0","10.0","10.0",".",".",".",".",".",".",".",".",".","."
"Intro to Prob & Math Stat I","Course Total","45","3.078","37.8","13.3","8.9","20.0","13.3","6.7",".",".",".",".",".",".",".",".",".","."
"Intro to Prob & Math Stat II","310
001","9","2.778","33.3","22.2","11.1",".",".","33.3",".",".",".",".",".",".",".",".",".","."
"Tech-Ordinary Diff Equation","319
001","112","3.509","59.8","12.5","8.0","8.0","5.4","3.6",".",".",".",".",".",".","1.8","0.9",".","."
"","320
001","221","3.176","37.6","16.3","20.8","5.0","14.0","4.5","0.9",".",".",".",".",".","0.9",".",".","."
"","320
002","203","3.220","37.9","15.3","25.1","6.9","10.3","2.0","2.0",".",".",".",".",".","0.5",".",".","."
"","320
003","121","3.146","31.4","16.5","25.6","9.1","13.2","2.5","0.8",".",".",".",".",".","0.8",".",".","."
"","320
005","115","3.061","28.7","13.0","26.1","13.0","13.9","4.3",".",".",".",".",".",".","0.9",".",".","."
"","320
006","121","3.071","24.8","18.2","27.3","12.4","13.2","2.5","0.8",".",".",".",".",".","0.8",".",".","."
"","320
007","12","3.750","75.0","16.7",".",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"Linear Alg & Diff Equations","Course Total","793","3.159","34.0","15.9","24.1","8.3","12.7","3.2","1.0",".",".",".",".",".","0.8",".",".","."
"App Math 1: Vec & Complex Calc","321
001","76","2.408","5.3","3.9","5.3","43.4","39.5","2.6",".",".",".",".",".",".",".",".",".","."
"App Math 2: Partial Diff Eqs","322
001","33","2.636","21.2","9.1","30.3","3.0","21.2","6.1","9.1",".",".",".",".",".",".",".",".","."
"","331
001","66","3.061","33.3","15.2","24.2","9.1","12.1",".","6.1",".",".",".",".",".",".",".",".","."
"","331
002","80","3.206","40.0","12.5","26.3","3.8","11.3","6.3",".",".",".",".",".",".",".",".",".","."
"Introductory Probability","Course Total","146","3.140","37.0","13.7","25.3","6.2","11.6","3.4","2.7",".",".",".",".",".",".",".",".","."
"","340
001","112","3.037","28.6","11.6","28.6","11.6","9.8","6.3","0.9",".",".",".",".",".","2.7",".",".","."
"","340
002","107","2.652","23.4","9.3","20.6","8.4","15.9","12.1","5.6",".",".",".",".",".","4.7",".",".","."
"","340
003","76","3.000","36.8","14.5","13.2","9.2","11.8","11.8","1.3",".",".",".",".",".","1.3",".",".","."
"","340
004","109","2.851","23.9","11.0","32.1","6.4","6.4","12.8","2.8",".",".",".",".",".","4.6",".",".","."
"","340
005","81","2.842","24.7","13.6","23.5","4.9","18.5","11.1","1.2",".",".",".",".",".","2.5",".",".","."
"Elem Matrix & Linear Algebra","Course Total","485","2.873","27.0","11.8","24.3","8.2","12.2","10.7","2.5",".",".",".",".",".","3.3",".",".","."
"","341
001","32","2.844","31.3","15.6","25.0","3.1","9.4","3.1","12.5",".",".",".",".",".",".",".",".","."
"","341
002","25","3.120","48.0","20.0","4.0","4.0","12.0","4.0","8.0",".",".",".",".",".",".",".",".","."
"","341
003","33","3.303","45.5","6.1","21.2","18.2","9.1",".",".",".",".",".",".",".",".",".",".","."
"Linear Algebra","Course Total","90","3.089","41.1","13.3","17.8","8.9","10.0","2.2","6.7",".",".",".",".",".",".",".",".","."
"Linear Algebra & Optimization","345
001","26","2.981","19.2","19.2","30.8","7.7","19.2","3.8",".",".",".",".",".",".",".",".",".","."
"Topics-Multi-Var Calc&Diff Eq","376
001","43","3.651","55.8","18.6","25.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","390
026","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","390
047","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","390
184","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","390
188","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","390
204","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","390
210","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","390
275","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","390
281","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","390
283","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","390
285","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Undergraduate Research - MXM","Course Total","27","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","421
001","28","3.000","42.9","10.7","10.7","17.9","7.1",".","10.7",".",".",".",".",".",".",".",".","."
"","421
002","31","2.903","29.0","9.7","32.3","3.2","12.9","9.7","3.2",".",".",".",".",".",".",".",".","."
"","421
003","29","3.086","37.9","13.8","17.2","10.3","10.3","10.3",".",".",".",".",".",".",".",".",".","."
"July 16, 2026","","","","","","","","","","","","","","","","","","Page 303 of 493",""
