"MED","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PHYSICAL THERAPY","Section","#","Ave","A","AB","B","BC","","C","","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","","","",""
"745
PHY THER","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"745
PHY THER","Dept. Total","546","3.741","46.5","23.4","2.0","",".","",".","",".","",".","",".","",".","28.0","",".","",".","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","","C","","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","","","",""
"745
PHY THER","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Junior","","2","***","","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Senior","","2","***","","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Undergraduates","","4","***","","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Prof Yr 1","","238","3.701","45.0","36.6","2.1","",".","",".","",".","",".","",".","",".","16.4","",".","",".","",".",".",".","."
"Prof Yr 2","","229","3.782","62.4","17.9","2.6","",".","",".","",".","",".","",".","",".","17.0","",".","",".","",".",".",".","."
"Prof Yr 3","","75","",".",".",".","",".","",".","",".","",".","",".","",".","100.0","",".","",".","",".",".",".","."
"Professionals","","542","3.740","46.1","23.6","2.0","",".","",".","",".","",".","",".","",".","28.2","",".","",".","",".",".",".","."
"","Dept. Total","546","3.741","46.5","23.4","2.0","",".","",".","",".","",".","",".","",".","28.0","",".","",".","",".",".",".","."
