"ENGLISH","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"352
ENGL","","","","","","","","","","","","","","","","","","","",""
"","248
002","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","248
003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Women in Ethnic Amer Lit","Course Total","","28","3.821","67.9","28.6","3.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Survey of Asian Americn Lit","270
001","","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics Engl Study Abroad - Lit","279
00A","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Rhet,Science&Public Engagement","305
001","","15","3.900","93.3",".",".","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"","307
001","","14","3.857","78.6","14.3","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
002","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
003","","16","3.906","87.5","6.3","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
004","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
005","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Creatv Wrtng:Fic&PoetWkshp","Course Total","","74","3.953","93.2","4.1","2.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Structure of English","314
001","","22","3.810","77.3","4.5","9.1","4.5",".",".",".","4.5",".",".",".",".",".",".",".","."
"Second Language Acquisition","318
001","","25","3.980","96.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Language, Race, and Identity","319
001","","28","3.571","60.7","17.9","7.1","3.6","10.7",".",".",".",".",".",".",".",".",".",".","."
"Child Language","320
001","","29","3.862","82.8","10.3","3.4","3.4",".",".",".",".",".",".",".",".",".",".",".","."
"The Sixteenth Century","328
001","","25","3.417","32.0","28.0","28.0","4.0","4.0",".",".","4.0",".",".",".",".",".",".",".","."
"Nineteenth-Century Novel","345
001","","30","3.867","80.0","13.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","350
001","","16","3.781","68.8","18.8","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","350
002","","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","350
003","","14","3.679","57.1","28.6","7.1","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Gender & Literature","Course Total","","39","3.782","69.2","20.5","7.7","2.6",".",".",".",".",".",".",".",".",".",".",".","."
"Early Medieval England","360
001","","14","3.611","28.6","21.4","14.3",".",".",".",".","14.3",".",".",".",".",".",".","21.4","."
"Chicana/o & Latina/o Lit","368
001","","8","3.563","50.0","25.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"","400
001","","19","3.816","78.9","5.3","15.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400
002","","18","3.833","88.9",".","5.6",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"Advanced Composition","Course Total","","37","3.824","83.8","2.7","10.8",".","2.7",".",".",".",".",".",".",".",".",".",".","."
"Creative Writing: Nonfiction","407
001","","14","3.929","92.9",".","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","408
001","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","408
002","","15","3.967","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","408
003","","13","3.615","61.5","15.4","7.7","15.4",".",".",".",".",".",".",".",".",".",".",".","."
"Creative Writing: Fiction","Course Total","","41","3.866","85.4","7.3","2.4","4.9",".",".",".",".",".",".",".",".",".",".",".","."
"","409
001","","15","3.667","80.0",".","6.7",".","13.3",".",".",".",".",".",".",".",".",".",".","."
"","409
002","","11","3.727","81.8",".","9.1",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"Creative Writing: Poetry","Course Total","","26","3.692","80.8",".","7.7",".","11.5",".",".",".",".",".",".",".",".",".",".","."
"Global Spread of English","414
002","","11","3.500","72.7","9.1",".",".","9.1","9.1",".",".",".",".",".",".",".",".",".","."
"Introduction to TESOL Methods","415
001","","17","3.656","64.7","11.8","5.9","5.9","5.9",".",".",".",".",".",".",".",".","5.9",".","."
"","420
001","","7","3.786","71.4","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","420
002","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-English Lang & Linguis","Course Total","","20","3.925","90.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
