"Research Pract-Engr Physics II","569
001","","6","4.000","100.0",".",".",".","",".","",".","",".",".",".","",".",".","",".","",".","",".",".","."
"HPC for Apps in Engr","759
001","","2","***","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"EP Graduate Seminar","920
001","","2","***","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"347
E P","Dept. Total","","67","3.871","77.6","9.0","3.0","",".","1.5","",".","",".","6.0","",".","3.0","",".","",".","",".",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","","C","D","","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"347
E P","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Junior","","","6","3.875","83.3","16.7",".","",".",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Senior","","","49","3.874","87.8","6.1","4.1","",".","2.0","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","","55","3.874","87.3","7.3","3.6","",".","1.8","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Special","","","5","***","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Graduate","","","7","3.864","57.1","14.3",".","",".",".","",".","",".",".","",".","28.6","",".","",".","",".",".",".","."
"","Dept. Total","","67","3.871","77.6","9.0","3.0","",".","1.5","",".","",".","6.0","",".","3.0","",".","",".","",".",".",".","."
