"L&S","","","","","","","","","","","","","","","","","","","","",""
"MATHEMATICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"600
MATH","","","","","","","","","","","","","","","","","","","","",""
"600
MATH","Dept. Total","7721","2.976","33.4","11.1","22.0","7.8","14.4","5.5","2.7","1.1","",".","0.6","",".","0.2","1.1","0.0","0.1","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"600
MATH","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","781","2.667","24.2","7.3","21.9","9.3","21.8","9.2","5.5",".","",".",".","",".",".","0.8",".",".","."
"Sophomore","","2865","2.941","30.1","11.1","25.9","7.8","16.3","5.1","2.6",".","",".",".","",".",".","1.0",".",".","."
"Junior","","1947","2.975","32.4","11.8","22.8","8.9","14.0","5.4","2.8",".","",".","0.3","",".",".","1.7",".",".","."
"Senior","","1396","2.976","33.2","12.6","19.6","8.5","13.3","7.3","2.6","0.2","",".","1.7","",".","0.1","0.8","0.1",".","."
"Undergraduates","","6989","2.923","30.7","11.2","23.3","8.4","15.7","6.1","3.0","0.0","",".","0.4","",".","0.0","1.1","0.0",".","."
"Special","","143","3.594","58.7","12.6","12.6","4.9","4.2","0.7",".","1.4","",".","2.8","",".",".","0.7",".","1.4","."
"Graduate","","589","3.716","59.9","9.2","8.0","1.9","2.0","0.2","0.7","13.1","",".","1.9","",".","1.9","1.0",".","0.3","."
"","Dept. Total","7721","2.976","33.4","11.1","22.0","7.8","14.4","5.5","2.7","1.1","",".","0.6","",".","0.2","1.1","0.0","0.1","."
