"ENVIR ST - GAYLORD NELSON I Section","","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"360
ENVIR ST","","","","","","","","","","","","","","","","","","","",""
"Forum on the Environment","101","001","103","3.797","86.4","3.9","2.9","1.0",".","1.9","1.9",".",".",".",".",".",".",".","1.9","."
"Climate and Climate Change","102","001","47","3.553","61.7","12.8","14.9","4.3","2.1","4.3",".",".",".",".",".",".",".",".",".","."
"Environmental Geology","106","001","21","3.190","38.1","19.0","23.8","9.5",".","4.8","4.8",".",".",".",".",".",".",".",".","."
"Environmental Humanities","113","001","146","3.881","87.0","4.1","3.4","1.4","2.1",".",".","1.4",".",".",".",".","0.7",".",".","."
"Intro Earth System","120","001","41","3.354","29.3","36.6","19.5","4.9","9.8",".",".",".",".",".",".",".",".",".",".","."
"Principles-Envrnmtl Science","126","001","23","3.705","56.5","26.1","8.7","4.3",".",".",".","4.3",".",".",".",".",".",".",".","."
"Global Environmental Issues","139","001","47","3.337","48.9","10.6","12.8","17.0","6.4",".","2.1",".",".",".",".",".","2.1",".",".","."
"","153","001","35","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","153","002","12","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Literature and the Environment","","Course Total","47","3.989","97.9","2.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Global Chg: Atmospheric Iss","171","001","8","3.583","37.5","25.0",".","12.5",".",".",".",".",".",".",".",".","25.0",".",".","."
"","201","001","13","3.846","76.9","15.4","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201","002","11","3.909","81.8","18.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201","003","9","3.778","55.6","44.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Insects and Human Culture","","Course Total","33","3.848","72.7","24.2","3.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Careers in the Environment","202","001","22","3.909","90.9","4.5",".","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"Our Planet, Our Health","205","001","34","3.926","88.2","8.8","2.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Glbl Envir Hlth:Interdis Intro","213","001","182","3.986","97.3","2.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sustainability","215","001","85","3.535","61.2","12.9","12.9","4.7","5.9","1.2","1.2",".",".",".",".",".",".",".",".","."
"Soil: Ecosystem & Resource","230","001","9","2.500","33.3",".",".","33.3","11.1","11.1","11.1",".",".",".",".",".",".",".",".","."
"Making the American Landscape","239","001","34","3.838","76.5","17.6","2.9","2.9",".",".",".",".",".",".",".",".",".",".",".","."
"Introductory Ecology","260","001","14","3.071","28.6","21.4","14.3","7.1","28.6",".",".",".",".",".",".",".",".",".",".","."
"Environment: Religion & Ethics","270","001","41","3.946","87.8",".",".",".","2.4",".",".","9.8",".",".",".",".",".",".",".","."
"Rhet,Science&Public Engagement","305","001","13","3.808","84.6",".","7.7","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"People, Land and Food","309","001","23","3.609","65.2","17.4","4.3","8.7",".","4.3",".",".",".",".",".",".",".",".",".","."
"","317","001","21","3.952","95.2",".","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","317","002","25","3.900","92.0","4.0",".",".","4.0",".",".",".",".",".",".",".",".",".",".","."
"Comm Envir Scholars Seminar","","Course Total","46","3.924","93.5","2.2","2.2",".","2.2",".",".",".",".",".",".",".",".",".",".","."
"Systems & LCA","326","001","43","3.872","81.4","16.3",".",".","2.3",".",".",".",".",".",".",".",".",".",".","."
"Global Warming:Science&Impacts","332","001","21","3.429","33.3","42.9","9.5","4.8","9.5",".",".",".",".",".",".",".",".",".",".","."
"Green Urbanism","333","001","33","3.703","78.8","3.0","9.1",".","3.0",".","3.0",".",".",".",".",".","3.0",".",".","."
"Environmental Conservation","339","001","32","3.484","43.8","31.3","9.4","9.4","6.3",".",".",".",".",".",".",".",".",".",".","."
"Environmental Economics","343","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Introduction to Air Quality","355","001","11","3.636","54.5","27.3","9.1","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"Wetlands Ecology","361","001","41","3.744","56.1","29.3","9.8",".",".",".",".","2.4",".",".",".",".","2.4",".",".","."
"Systems Thinking","365","001","13","3.708","76.9",".",".","7.7","7.7",".",".","7.7",".",".",".",".",".",".",".","."
"Renewable Energy Systems","367","001","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Envir Remote Sensing","371","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Geog Info Systems","377","001","9","3.222","44.4",".","22.2","22.2","11.1",".",".",".",".",".",".",".",".",".",".","."
"July 16, 2026","","","","","","","","","","","","","","","","","","","Page 177 of 493",""
