"COMMUNITY & ENVIRONMENTA Section","","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","","GPA","","","","","","","","","","","","","","","",""
"864
C&E SOC","","","","","","","","","","","","","","","","","","","","",""
"Intro-Community & Envir Soc","140","001","","31","3.783","71.0","12.9","9.7","3.2",".",".",".",".",".",".",".",".","3.2",".",".","."
"Survey of Sociology","210","001","","12","3.417","41.7","16.7","25.0","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"","211","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","211","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"The Sociological Enterprise","","Course Total","","6","3.500","50.0","16.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"Food, Culture, and Society","222","001","","22","3.659","36.4","59.1","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sociology of Health & Medicine","343","001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Gender, Sexuality, & Rurality","347","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Meth-Sociological Inquiry","357","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Stats for Sociologists I","360","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Data Mgt for Soc Sci Research","365","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro Public Health","370","001","","56","3.929","89.3","7.1","3.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","399","096","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","475","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","475","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Classical Soc Theory","","Course Total","","4","***","","","","","","","","","","","","","","","",""
"Capstone Experience","500","001","","16","3.969","93.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ethics of Modern Biotechnology","565","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Poverty and Place","578","001","","8","3.500","62.5","12.5",".","12.5","12.5",".",".",".",".",".",".",".",".",".",".","."
"Soc:Devlp Societies/3rd Wld","630","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","071","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","098","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","","Course Total","","5","***","","","","","","","","","","","","","","","",""
"","875","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","875","071","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","","Course Total","","4","***","","","","","","","","","","","","","","","",""
"Rsch:Comm & Environmental Soc","985","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","990","096","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Rsch: Methodology Trainees","995","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Rsch-Demogrphy&Ecol Trainee","997","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
