"OPHTHALMOLOGY AND VISUAL  Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"702
OPHTHALM","","","","","","","","","","","","","","","","","","","",""
"699","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","078","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","152","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","294","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","298","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","299","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","26","3.951","96.2",".","3.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Vision Science
750","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"910","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"910","045","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Indep Rdg & Rsch-4th Yr Med","Course Total","","5","***","","","","","","","","","","","","","","","",""
"Intro to the Visual System
911","044","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"919","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"919","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"919","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"919","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Individual Phase 3 Clinical","Course Total","","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
