"NUTRITIONAL SCIENCES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"694
NUTR SCI","","","","","","","","","","","","","","","","","","","",""
"699","084","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","085","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","086","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","087","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Micronutr-Human Phys & Disease
715","001","","28","3.982","96.4","3.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Nutrition Assessment
720","002","","15","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Research in Progress Seminar
731","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Grant Writing for Research
745","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar-Nutrition
931","001","","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"991","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"991","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","012","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"991","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","073","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","074","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","080","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","085","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","086","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"991","087","","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"991","088","","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"991","090","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","091","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"991","092","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","093","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"991","094","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","095","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"991","096","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research Nutrition","Course Total","","42","",".",".",".",".",".",".",".","97.6",".",".",".","2.4",".",".",".","."
