"BOTANY","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"208
BOTANY","","","","","","","","","","","","","","","","","","","",""
"Survey of Botany","100","001","111","3.068","17.1","26.1","28.8","14.4","10.8",".","1.8",".",".",".",".",".",".",".","0.9","."
"Mushrooms","105","001","46","3.845","84.8",".","2.2","2.2",".",".","2.2","8.7",".",".",".",".",".",".",".","."
"Plants, Parasites, & People","123","001","79","3.753","70.9","11.4","16.5",".","1.3",".",".",".",".",".",".",".",".",".",".","."
"General Botany","130","001","114","3.105","36.8","7.9","28.9","2.6","20.2","1.8","1.8",".",".",".",".",".",".",".",".","."
"Introductory Biology","151","001","6","2.583",".","16.7","16.7","33.3","33.3",".",".",".",".",".",".",".",".",".",".","."
"Introductory Biology","152","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Introductory Ecology","260","001","18","2.917","27.8",".","44.4","5.6","16.7",".","5.6",".",".",".",".",".",".",".",".","."
"","299","003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","005","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","034","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study in Botany","","Course Total","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fungi","332","001","12","3.625","58.3","16.7","16.7","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"Biology of the Fungi","333","001","26","3.478","38.5","23.1","15.4","7.7","3.8",".",".","11.5",".",".",".",".",".",".",".","."
"Microbiome-Plants/Anmls/Humans","335","001","6","2.833","16.7","33.3","33.3",".",".",".","16.7",".",".",".",".",".",".",".",".","."
"Vascular Flora of Wisconsin","401","001","36","3.153","38.9","27.8","2.8","13.9","5.6","8.3","2.8",".",".",".",".",".",".",".",".","."
"Evolutionary Biology","410","001","15","3.267","40.0","13.3","33.3",".","6.7","6.7",".",".",".",".",".",".",".",".",".","."
"General Ecology","460","001","31","3.290","19.4","35.5","32.3","9.7","3.2",".",".",".",".",".",".",".",".",".",".","."
"Plant-Insect Interactions","473","001","18","3.971","88.9","5.6",".",".",".",".",".","5.6",".",".",".",".",".",".",".","."
"Ethnobotany","474","001","39","3.513","53.8","12.8","15.4","10.3","5.1",".",".","2.6",".",".",".",".",".",".",".","."
"","499","012","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","499","035","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","499","038","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intermediate Directed Research","","Course Total","3","***","","","","","","","","","","","","","","","",""
"","500","002","14","3.107","28.6","14.3","21.4","21.4","14.3",".",".",".",".",".",".",".",".",".",".","."
"","500","010","7","3.000","14.3","14.3","42.9","14.3","14.3",".",".",".",".",".",".",".",".",".",".","."
"Plant Physiology","","Course Total","21","3.078","23.8","14.3","28.6","19.0","14.3",".",".",".",".",".",".",".",".",".",".","."
"Plant-Microbe Interactions","505","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Conservation Biology","516","001","19","3.711","68.4","15.8","10.5",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"Phylogenet Analysis-Molec Data","563","001","16","3.781","68.8","18.8","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","575","001","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","575","002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","","Course Total","15","4.000","86.7",".",".",".",".",".",".","13.3",".",".",".",".",".",".",".","."
"Senior Thesis","691","036","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","692","005","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","692","012","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","692","032","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","692","034","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","692","036","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","692","042","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","692","044","1","***","","","","","","","","","",".",".",".",".",".",".","."
"July 16, 2026","","","","","","","","","","","","","","","","","","","Page 205 of 493",""
