"BUS","","","","","","","","","","","","","","","","","","","","","",""
"ACTUARIAL SCIENCE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"242
ACT SCI","","","","","","","","","","","","","","","","","","","","","",""
"Probability for Actuaries","300
001","42","",".",".",".",".",".",".",".",".",".","","100.0",".","",".","",".",".",".","."
"","303
001","67","3.326","34.3","28.4","16.4","11.9","4.5","3.0",".","1.5",".","",".",".","",".","",".",".",".","."
"","303
002","3","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"Theory of Interest","Course Total","70","3.331","32.9","30.0","15.7","11.4","4.3","2.9",".","1.4","",".",".","",".","",".","1.4",".",".","."
"Reading and Research","399
070","1","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"Actuarial Statistics for Risk","640
001","30","3.650","60.0","20.0","13.3","3.3","3.3",".",".",".",".","",".",".","",".","",".",".",".","."
"Fund Long-Term Actuarial Model","650
001","43","3.140","34.9","20.9","9.3","11.6","20.9","2.3",".",".",".","",".",".","",".","",".",".",".","."
"Adv Long-Term Actuarial Model","651
001","34","3.279","32.4","29.4","17.6","8.8","8.8","2.9",".",".",".","",".",".","",".","",".",".",".","."
"Fund Short-Term Actuarial Modl","652
001","42","3.417","64.3","7.1","7.1","9.5","4.8","4.8","2.4",".",".","",".",".","",".","",".",".",".","."
"Risk Analytics","657
001","22","3.341","40.9","18.2","27.3","4.5","4.5","4.5",".",".",".","",".",".","",".","",".",".",".","."
"242
ACT SCI","Dept. Total","284","3.358","36.6","18.7","12.0","7.7","6.7","2.5","0.4","0.4","",".","14.8","",".","",".","0.4",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"242
ACT SCI","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","33","3.341","24.2","24.2",".","15.2",".","3.0",".",".","",".","33.3","",".","",".",".",".",".","."
"Junior","","95","3.394","33.7","12.6","13.7","4.2","7.4","1.1",".",".","",".","27.4","",".","",".",".",".",".","."
"Senior","","131","3.344","44.3","18.3","12.2","7.6","8.4","3.8","0.8","0.8","",".","3.8","",".","",".",".",".",".","."
"Undergraduates","","259","3.360","37.8","17.0","11.2","7.3","6.9","2.7","0.4","0.4","",".","16.2","",".","",".",".",".",".","."
"Special","","17","3.269","17.6","41.2","11.8","17.6","5.9",".",".",".","",".",".","",".","",".","5.9",".",".","."
"Graduate","","8","3.500","37.5","25.0","37.5",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","Dept. Total","284","3.358","36.6","18.7","12.0","7.7","6.7","2.5","0.4","0.4","",".","14.8","",".","",".","0.4",".",".","."
