"KINESIOLOGY","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"742
KINES","","","","","","","","","","","","","","","","","","","","",""
"Pract:Adapted Physical Educ","","Course Total","","5","***","","","","","","","","","","","","","","","",""
"Pln, Fac, Assess Mvmt & Hlth","370","001","","64","3.930","85.9","14.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Methods and Prac of PK-5 PE","372","001","","11","3.818","90.9",".",".",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"Young Athlete Exer & Medicine","387","001","","92","3.788","84.8","5.4","2.2","2.2","4.3",".","1.1",".",".",".",".",".",".",".",".","."
"Princpls-Exercise Leadershp","390","001","","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","399","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","009","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","018","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","024","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","025","","8","3.950","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","399","026","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","032","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","","Course Total","","36","3.943","91.7","5.6","2.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fitness Test & Exer Prescript","427","001","","29","3.983","96.6","3.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Elem Sch Phy Ed Stdt Tchg","478","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Secondary-Phys Ed Stdt Tchg","479","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Athl Healthcare Contemp Persp","487","001","","57","3.877","82.5","12.3","3.5","1.8",".",".",".",".",".",".",".",".",".",".",".","."
"Theory Health Programs","501","001","","28","3.857","75.0","21.4","3.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","508","002","","33","3.985","97.0","3.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","508","003","","15","3.933","86.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Workshop in Kinesiology","","Course Total","","48","3.969","93.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Climate Change and Health Disp","513","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Phys Act for Diverse Abilities","516","001","","30","3.933","90.0","6.7","3.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Physical Activity & Health","521","001","","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clinic Exercise Test and Rx","523","001","","21","3.714","81.0","9.5",".",".","4.8","4.8",".",".",".",".",".",".",".",".",".","."
"Nutrition, Fitness and Health","525","001","","38","3.803","73.7","18.4","5.3",".","2.6",".",".",".",".",".",".",".",".",".",".","."
"Neural Control of Movement","531","001","","50","3.870","80.0","16.0","2.0","2.0",".",".",".",".",".",".",".",".",".",".",".","."
"Sports Sci & Athlete Monitor","555","001","","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Rsrch Capstn in Kines","560","001","","6","3.583","66.7",".","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"Promoting Community Health","566","001","","59","3.746","55.9","37.3","6.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Stdt Tchg-Health Education","568","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
