"PATHOLOGY AND LABORATORY Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"704
PATH","","","","","","","","","","","","","","","","","","","",""
"399","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"399","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","071","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pathophys Princp Human Disease
404","001","","178","3.989","97.2","0.6",".","0.6",".",".",".",".",".",".",".",".",".",".","1.7","."
"Envir. Viral Pathogen Surv
501","001","","8","3.857","75.0",".","12.5",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"699","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","049","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","052","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","072","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","073","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","092","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","100","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","102","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","107","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","108","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","112","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","26","3.975","96.2","3.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Cellulr & Moleclr Biol/Path
750","001","","24","3.729","66.7","20.8","8.3",".","4.2",".",".",".",".",".",".",".",".",".",".","."
"Cell/Molecular Bio/Path Sem
752","001","","15","3.900","86.7","6.7","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Immunopathology
807","001","","12","3.833","75.0","16.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Moleculr Mechanisms of Disease
809","001","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Student Seminar / Journal Club
901","001","","63","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Clin Micro - Resistance
916","001","","52","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"920","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"920","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"920","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"920","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"920","005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"920","006","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"920","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"920","008","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"920","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"920","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"920","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"920","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"920","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"General Pathology Clerkship","Course Total","","27","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
