"LAW","","","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"528","LAW","","","","","","","","","","","","","","","","","","","","",""
"","Problems in Constitutional Law","","Course Total","","24","0.825","20.8",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","Securities Regulation","914","001","","25","2.250","28.0",".","32.0",".","4.0",".","4.0","4.0",".",".",".",".",".",".",".","."
"","Probs-Criminal Justice Adm","915","001","","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","","918","001","","10","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","","918","003","","19","",".",".",".",".",".",".",".","52.6",".",".",".",".",".",".",".","47.4"
"","","918","004","","12","1.250","25.0",".","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","Problems: Intl Law Seminar","","Course Total","","41","1.250","7.3",".","2.4",".",".",".",".","48.8",".",".",".",".",".",".",".","22.0"
"","Problems- Land Law Seminar","928","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Health Law","","935","001","","25","1.320","12.0",".","20.0",".","12.0",".",".",".",".",".",".",".",".",".",".","."
"","Problems in Family Law-Smr","939","001","","14","1.765","35.7",".","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","","940","001","","19","",".",".",".",".",".",".",".","63.2",".",".",".",".",".",".",".","36.8"
"","","940","002","","16","1.656","31.3","6.3","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","","940","003","","24","0.700","4.2",".","16.7",".",".",".",".",".",".",".",".",".","4.2",".",".","."
"","","940","005","","28","0.750","7.1",".","10.7",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"","","940","006","","24","1.000","12.5",".","12.5",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"","","940","007","","33","",".",".",".",".",".",".",".","57.6",".",".",".",".",".",".",".","42.4"
"","","940","008","","16","2.000","18.8",".","25.0",".",".",".",".","18.8",".",".",".",".",".","6.3",".","."
"","","940","009","","9","1.143","22.2",".",".",".",".",".",".","22.2",".",".",".",".",".",".",".","."
"","","940","010","","11","1.273","18.2",".","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","","940","011","","10","",".",".",".",".",".",".",".","40.0",".",".",".",".",".",".",".","60.0"
"","","940","012","","32","",".",".",".",".",".",".",".","53.1",".",".",".",".",".",".",".","46.9"
"","","940","013","","18","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","","940","014","","14","1.143","14.3",".","14.3",".",".",".",".","7.1",".",".",".",".",".",".",".","."
"","","940","015","","8","",".",".",".",".",".",".",".","87.5",".",".",".",".",".",".","12.5","."
"","","940","016","","23","",".",".",".",".",".",".",".","73.9",".",".",".",".",".",".",".","26.1"
"","Law & Contemporary Problems","","Course Total","","285","1.159","7.0","0.4","6.7",".","0.7",".",".","36.1",".",".",".",".","0.4","0.4","0.4","16.8"
"","","950","001","","43","",".",".",".",".",".",".",".","53.5",".",".",".",".",".",".",".","46.5"
"","","950","002","","24","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","","950","003","","6","",".",".",".",".",".",".",".","50.0",".",".",".",".",".",".",".","50.0"
"","","950","004","","20","",".",".",".",".",".",".",".","95.0",".",".",".",".",".",".",".","5.0"
"","","950","005","","15","",".",".",".",".",".",".",".","80.0",".",".",".",".",".",".",".","20.0"
"","","950","006","","10","",".",".",".",".",".",".",".","80.0",".",".",".",".",".",".",".","20.0"
"","","950","007","","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","","950","008","","9","",".",".",".",".",".",".",".","77.8",".",".",".",".",".",".",".","22.2"
"","","950","009","","10","",".",".",".",".",".",".",".","70.0",".",".",".",".",".",".",".","30.0"
"","","950","010","","9","",".",".",".",".",".",".",".","77.8",".",".",".",".",".",".",".","22.2"
"","","950","011","","10","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","","950","014","","14","",".",".",".",".",".",".",".","57.1",".",".",".",".",".",".",".","42.9"
"","","950","015","","14","",".",".",".",".",".",".",".","42.9",".",".",".",".",".",".",".","57.1"
"","","950","016","","20","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","","950","017","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","","950","018","","6","",".",".",".",".",".",".",".","83.3",".",".",".",".","16.7",".",".","."
"July 16, 2026","","","","","","","","","","","","","","","","","","","","","Page 382 of 493",""
