"POLITICAL SCIENCE","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"778
POLI SCI","","","","","","","","","","","","","","","","","","","",""
"Intro-Amer Politcs&Governmt","104","001","197","3.231","30.5","27.4","13.2","18.3","7.6","1.5","0.5",".",".",".",".",".","0.5",".","0.5","."
"Intro to Comparative Politics","120","001","145","3.372","34.5","39.3","12.4","4.1","4.8","2.1","2.1",".",".",".",".",".","0.7",".",".","."
"Intro-Internatl Relations","140","001","232","3.429","37.9","30.6","15.9","8.2","2.6","1.7","0.4","2.2",".",".",".",".",".","0.4",".","."
"Intro to Political Theory","160","001","164","3.497","45.7","32.3","11.0","5.5","1.2","2.4","1.2","0.6",".",".",".",".",".",".",".","."
"Eastern Europe:Interdis Survey","254","001","32","3.547","59.4","6.3","18.8","15.6",".",".",".",".",".",".",".",".",".",".",".","."
"Intro East Asian Civilizations","255","001","26","3.800","69.2","15.4","11.5",".",".",".",".",".",".",".",".",".","3.8",".",".","."
"Latin America-Introduction","260","001","15","3.667","60.0","20.0","13.3","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"Understndng Politcl Numbers","270","001","92","3.667","56.5","26.1","8.7","4.3","2.2",".",".",".",".",".",".",".","1.1","1.1",".","."
"Africa: Introductory Survey","277","001","27","3.796","77.8","11.1","7.4",".","3.7",".",".",".",".",".",".",".",".",".",".","."
"Politcal Economy-Race in US","304","001","49","3.735","71.4","18.4","6.1","2.0",".",".","2.0",".",".",".",".",".",".",".",".","."
"American Political Parties","306","001","102","3.460","31.4","34.3","24.5","5.9","1.0",".",".","2.9",".",".",".",".",".",".",".","."
"Legislative Internship","315","001","59","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Politics of East & SE Asia","328","001","63","3.183","23.8","31.7","28.6","4.8","4.8","4.8","1.6",".",".",".",".",".",".",".",".","."
"Theories-Internationl Security","343","001","68","3.750","75.0","14.7","5.9",".","2.9",".","1.5",".",".",".",".",".",".",".",".","."
"The Russian War on Ukraine","344","001","71","3.216","11.3","29.6","25.4","14.1","1.4",".",".","16.9",".",".",".",".","1.4",".",".","."
"Analysis of Intl Relations","348","001","100","3.720","72.0","12.0","9.0","4.0","2.0","1.0",".",".",".",".",".",".",".",".",".","."
"Intl Institutns&World Order","354","001","50","3.900","84.0","12.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"American Foreign Policy","359","001","206","3.813","79.1","11.2","2.9","2.9",".","0.5","1.0","2.4",".",".",".",".",".",".",".","."
"Hist-Amer Political Thought","360","001","39","3.625","46.2","38.5","5.1",".",".",".","2.6","5.1",".",".",".",".",".",".","2.6","."
"Contemp Amer Polit Thought","361","001","48","3.677","50.0","39.6","6.3","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"Athenian Democracy","362","001","15","3.200","26.7","33.3","13.3","6.7","20.0",".",".",".",".",".",".",".",".",".",".","."
"Literature and Politics","363","001","57","3.772","73.7","14.0","7.0","3.5","1.8",".",".",".",".",".",".",".",".",".",".","."
"Nuclear Weapons&World Poltc","377","001","35","3.235","40.0","14.3","20.0","8.6","8.6","5.7",".","2.9",".",".",".",".",".",".",".","."
"Study Abroad-Pol Sci:Intnl Rel","390","00A","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","400","002","46","3.544","54.3","23.9","6.5","8.7","2.2",".","2.2",".",".",".",".",".",".",".","2.2","."
"","400","003","49","3.816","69.4","24.5","6.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400","004","36","3.264","36.1","19.4","19.4","11.1","13.9",".",".",".",".",".",".",".",".",".",".","."
"","400","005","40","3.684","57.5","17.5","17.5","2.5",".",".",".",".",".",".",".",".","2.5","2.5",".","."
"","400","006","42","3.738","69.0","16.7","7.1","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Political Science","","Course Total","213","3.627","58.2","20.7","10.8","5.6","2.8",".","0.5",".",".",".",".",".","0.5","0.5","0.5","."
"","401","001","22","3.909","81.8","18.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401","002","24","3.542","45.8","37.5",".","12.5","4.2",".",".",".",".",".",".",".",".",".",".","."
"Selected Topics-Poli Sci","","Course Total","46","3.717","63.0","28.3",".","6.5","2.2",".",".",".",".",".",".",".",".",".",".","."
"State Gov & Public Policy","405","001","47","3.872","80.9","14.9","2.1","2.1",".",".",".",".",".",".",".",".",".",".",".","."
"The American Presidency","408","001","72","3.669","58.3","18.1","9.7",".","2.8",".","1.4","8.3",".",".",".",".","1.4",".",".","."
"The American Constitution II","412","001","64","3.906","81.3","18.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"The Politics of Human Rights","434","001","32","3.922","87.5","9.4","3.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Politics Gender Rights MidEast","435","001","15","3.667","53.3","40.0",".",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"Philos, Poli, & Econ Seminar","461","001","26","3.654","42.3","46.2","11.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"July 16, 2026","","","","","","","","","","","","","","","","","","","Page 334 of 493",""
