"REHAB PSYCH & SPECIAL EDUC Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"194
RP & SE","","","","","","","","","","","","","","","","","","","",""
"Psych of Individual Difference
736","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Clin Reh Cnslg-Med & Psychsoc
750","001","","22","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Qual Rsch Mthds-Educ: Field I
788","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Reh Coun Ed-AssessThry&Rsrch
870","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"910","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"910","002","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clin Rehab Cnslg - Internship","Course Total","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Reh Coun Ed-Teaching
930","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"941","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"941","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"941","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Internship: Research","Course Total","","4","***","","","","","","","","","","","","","","","",""
"942","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"942","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"942","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Internship Postsecondary Teach","Course Total","","3","***","","","","","","","","","","","","","","","",""
"Internship in Rehb Couns Ed II
955","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Meth Disability&RehabRsrch
985","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Reh Coun Ed - Diss Resrch Sem
988","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","022","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research or Thesis","Course Total","","15","",".",".",".",".",".",".",".","73.3",".",".",".","26.7",".",".",".","."
"999","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","","2","***","","","","","","","","","","","","","","","",""
