"ANIMAL SCIENCES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"604
AN SCI","","","","","","","","","","","","","","","","","","","",""
"140","001","","23","3.913","87.0","8.7","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"140","002","","22","3.864","86.4","4.5","4.5","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"140","003","","23","3.891","78.3","21.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Poultry","Course Total","","68","3.890","83.8","11.8","2.9","1.5",".",".",".",".",".",".",".",".",".",".",".","."
"Biol&Apprec-Companion Anmls
200","001","","138","3.308","37.7","25.4","17.4","7.2","8.7","3.6",".",".",".",".",".",".",".",".",".","."
"You and Your Food: Farm/Table
210","001","","30","3.867","83.3","10.0","3.3","3.3",".",".",".",".",".",".",".",".",".",".",".","."
"Care and Managment Dogs & Cats
232","001","","37","3.716","67.6","13.5","13.5","5.4",".",".",".",".",".",".",".",".",".",".",".","."
"299","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","016","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"299","019","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"299","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","024","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"299","025","","7","3.765","85.7",".",".",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"299","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","063","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","21","3.902","95.2",".",".",".","4.8",".",".",".",".",".",".",".",".",".",".","."
"Comparative Animal Nutrition
311","001","","64","3.094","29.7","17.2","20.3","17.2","10.9","4.7",".",".",".",".",".",".",".",".",".","."
"Animal Health & Disease
320","001","","121","3.595","57.9","16.5","18.2","3.3","3.3","0.8",".",".",".",".",".",".",".",".",".","."
"Food Laws and Regulations
321","001","","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Microbiome-Plants/Anmls/Humans
335","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Digital Tech Animal Monitoring
344","001","","26","3.769","88.5",".","7.7",".",".",".","3.8",".",".",".",".",".",".",".",".","."
"Intro to Animal & Vet Genetics
361","001","","90","3.011","25.6","17.8","31.1","4.4","13.3","5.6","2.2",".",".",".",".",".",".",".",".","."
"Veterinary Genetics
362","001","","76","3.342","30.3","28.9","25.0","10.5","5.3",".",".",".",".",".",".",".",".",".",".","."
"Principles of Animal Breeding
363","001","","9","3.611","66.7","11.1","11.1",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"Animal Physiology
373","001","","92","3.077","32.6","8.7","31.5","6.5","14.1","4.3","1.1",".",".",".",".",".",".","1.1",".","."
"Special Topics
375","001","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ
399","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Microbiomes of Animal Systems
420","001","","33","3.530","39.4","33.3","21.2","6.1",".",".",".",".",".",".",".",".",".",".",".","."
"Ornithology
520","001","","8","3.125","25.0","25.0","25.0",".","25.0",".",".",".",".",".",".",".",".",".",".","."
"521","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"521","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Birds of Southern Wisconsin","Course Total","","3","***","","","","","","","","","","","","","","","",""
"Senior Honors Thesis
682","050","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","022","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","024","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","025","","2","***","","","","","","","","","",".",".",".",".",".",".","."
