"Summary by Level","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"FAM MED","","","","","","","","","","","","","","","","","","",""
"Junior","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Undergraduates","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Prof Yr 1","","5","***","","","","","","","","","","100.0",".",".",".",".",".","."
"Prof Yr 2","","4","***","","","","","","","","","","75.0",".",".",".",".",".","."
"Prof Yr 3","","47","",".",".",".",".",".",".",".","97.9",".","2.1",".",".",".",".",".","."
"Prof Yr 4","","49","",".",".",".",".",".",".",".","98.0",".","2.0",".",".",".",".",".","."
"Professionals","","105","",".",".",".",".",".",".",".","90.5",".","9.5",".",".",".",".",".","."
