"PSYCHOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"820
PSYCH","","","","","","","","","","","","","","","","","","",""
"","601
003","20","3.450","55.0","25.0","5.0","5.0","5.0",".","5.0",".",".",".",".",".",".",".",".","."
"","601
004","25","3.780","56.0","44.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","601
005","25","3.320","32.0","36.0","20.0","4.0",".","8.0",".",".",".",".",".",".",".",".",".","."
"","601
006","25","3.958","88.0","8.0",".",".",".",".",".",".",".",".",".",".","4.0",".",".","."
"","601
008","25","3.740","64.0","24.0","8.0","4.0",".",".",".",".",".",".",".",".",".",".",".","."
"","601
009","22","3.750","59.1","31.8","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","601
00A","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","601
016","22","3.705","68.2","18.2","4.5","4.5","4.5",".",".",".",".",".",".",".",".",".",".","."
"Current Topics - Psychology","Course Total","216","3.684","60.6","26.4","6.9","3.2","0.9","0.9","0.5",".",".",".",".",".","0.5",".",".","."
"Intro to Psychotherapy","607
001","24","3.833","83.3","8.3","4.2",".","4.2",".",".",".",".",".",".",".",".",".",".","."
"","621
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","621
004","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","621
006","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","621
007","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","621
008","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","621
009","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","621
010","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","621
014","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","621
015","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","621
020","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","621
022","8","3.964","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","621
029","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","621
035","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","621
039","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","621
040","10","3.955","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","621
041","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","621
045","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","621
047","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","621
050","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","621
053","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","621
058","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","621
061","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","621
064","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","621
065","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","621
068","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","621
072","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","621
073","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","621
078","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","621
079","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","621
082","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","621
084","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","621
086","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","621
088","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"July 16, 2026","","","","","","","","","","","","","","","","","","Page 339 of 493",""
