"FRENCH (FRENCH AND ITALIAN) Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"400
FRENCH","","","","","","","","","","","","","","","","","","","",""
"","101
002","","18","3.361","38.9","38.9","11.1",".","5.6",".","5.6",".",".",".",".",".",".",".",".","."
"","101
003","","22","3.571","50.0","27.3","13.6",".",".","4.5",".","4.5",".",".",".",".",".",".",".","."
"","101
004","","19","3.763","89.5",".",".","5.3",".","5.3",".",".",".",".",".",".",".",".",".","."
"","101
005","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"First Semester French","Course Total","","64","3.595","60.9","21.9","7.8","1.6","1.6","3.1","1.6","1.6",".",".",".",".",".",".",".","."
"","102
001","","9","3.889","88.9",".","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
002","","24","3.688","70.8","16.7",".","4.2","8.3",".",".",".",".",".",".",".",".",".",".","."
"","102
003","","19","3.553","68.4","15.8","5.3",".","5.3",".","5.3",".",".",".",".",".",".",".",".","."
"","102
004","","24","3.792","70.8","25.0",".",".","4.2",".",".",".",".",".",".",".",".",".",".","."
"","102
005","","12","3.667","66.7","16.7",".","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"Second Semester French","Course Total","","88","3.705","71.6","17.0","2.3","3.4","4.5",".","1.1",".",".",".",".",".",".",".",".","."
"Accelerated Intro French","105
001","","14","3.143","35.7","21.4","21.4","7.1",".","14.3",".",".",".",".",".",".",".",".",".","."
"","203
001","","15","3.733","80.0","6.7",".","6.7","6.7",".",".",".",".",".",".",".",".",".",".","."
"","203
002","","6","3.333","16.7","33.3","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Third Semester French","Course Total","","21","3.619","61.9","14.3","14.3","4.8","4.8",".",".",".",".",".",".",".",".",".",".","."
"","204
001","","12","3.636","66.7","8.3",".","8.3","8.3",".",".","8.3",".",".",".",".",".",".",".","."
"","204
002","","18","3.639","61.1","27.8","5.6",".",".","5.6",".",".",".",".",".",".",".",".",".","."
"","204
003","","21","3.643","57.1","23.8","9.5","9.5",".",".",".",".",".",".",".",".",".",".",".","."
"Fourth Semester French","Course Total","","51","3.640","60.8","21.6","5.9","5.9","2.0","2.0",".","2.0",".",".",".",".",".",".",".","."
"","211
001","","57","3.611","45.6","35.1","8.8","3.5",".","1.8",".","5.3",".",".",".",".",".",".",".","."
"","211
00A","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"French Lit & Interdis Studies","Course Total","","62","3.623","50.0","32.3","8.1","3.2",".","1.6",".","4.8",".",".",".",".",".",".",".","."
"","228
001","","24","3.729","62.5","20.8","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","228
002","","26","3.860","69.2","26.9",".",".",".",".",".","3.8",".",".",".",".",".",".",".","."
"Intermed Language & Culture","Course Total","","50","3.796","66.0","24.0","8.0",".",".",".",".","2.0",".",".",".",".",".",".",".","."
"","271
001","","28","3.827","67.9","17.9","7.1",".",".",".",".",".",".",".",".",".","7.1",".",".","."
"","271
002","","26","3.865","88.5","3.8",".","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"Lit Comics & Film in French","Course Total","","54","3.846","77.8","11.1","3.7","3.7",".",".",".",".",".",".",".",".","3.7",".",".","."
"Advanced Writing Workshop","312
001","","27","3.852","74.1","22.2","3.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Comtemp Issues in Buss,Gov&NGO","314
001","","22","3.841","68.2","31.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","316
00A","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","316
00B","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Study Abroad: Adv French Lang","Course Total","","2","***","","","","","","","","","","","","","","","",""
"Medievl&Early Mod French Lit","321
001","","15","3.700","53.3","33.3","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Modern French&Francophone Lit","322
001","","19","3.974","94.7","5.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"FR Fashion - Mid Ages to Today","345
001","","39","3.744","69.2","17.9","7.7","2.6","2.6",".",".",".",".",".",".",".",".",".",".","."
"Modernity Studies","348
001","","18","3.735","72.2","5.6","11.1",".","5.6",".",".","5.6",".",".",".",".",".",".",".","."
"Study Abroad: French Civ","362
00A","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"French/Francophone Film","465
001","","15","3.821","66.7","20.0","6.7",".",".",".",".",".",".",".",".",".",".",".","6.7","."
"Issues-Mthds Teachng Fr&Itl","821
001","","13","3.885","76.9","23.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar: Literature Questions","947
001","","13","3.731","61.5","23.1","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"July 16, 2026","","","","","","","","","","","","","","","","","","","Page 254 of 493",""
