"Summary by Level","#","","Ave","A","AB","B","BC","C","","D","","F","","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"NEURODPT","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","6","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Junior","","16","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Senior","","37","3.918","86.5","8.1","2.7",".","",".","",".","",".",".","",".",".","",".","",".","2.7",".",".","."
"Undergraduates","","59","3.947","91.5","5.1","1.7",".","",".","",".","",".",".","",".",".","",".","",".","1.7",".",".","."
"Special","","1","***","","","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Graduate","","31","3.628","29.0","3.2","6.5","3.2","",".","",".","",".","58.1","",".",".","",".","",".",".",".",".","."
"Prof Yr 3","","5","***","","","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Prof Yr 4","","9","",".",".",".",".","",".","",".","",".","100.0","",".",".","",".","",".",".",".",".","."
"Professionals","","14","3.000",".",".","7.1",".","",".","",".","",".","92.9","",".",".","",".","",".",".",".",".","."
