"EDU","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTEGRATED SCIENCE","Section","#","Ave","A","AB","B","BC","","C","D","","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"503
INTEGSCI","","","","","","","","","","","","","","","","","","","","","","","","",""
"503
INTEGSCI","Dept. Total","152","3.899","67.8","1.3","0.7","",".","0.7","",".","0.7","14.5","",".","14.5","",".","",".","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","","C","D","","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"503
INTEGSCI","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","2","***","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Sophomore","","45","3.981","95.6","4.4",".","",".",".","",".",".",".","",".",".","",".","",".","",".",".",".","."
"Junior","","29","3.667","89.7",".","3.4","",".","3.4","",".","3.4",".","",".",".","",".","",".","",".",".",".","."
"Senior","","31","4.000","100.0",".",".","",".",".","",".",".",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","107","3.898","95.3","1.9","0.9","",".","0.9","",".","0.9",".","",".",".","",".","",".","",".",".",".","."
"Graduate","","45","4.000","2.2",".",".","",".",".","",".",".","48.9","",".","48.9","",".","",".","",".",".",".","."
"","Dept. Total","152","3.899","67.8","1.3","0.7","",".","0.7","",".","0.7","14.5","",".","14.5","",".","",".","",".",".",".","."
