"ECONOMICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"296
ECON","","","","","","","","","","","","","","","","","","",""
"","101
001","179","3.222","23.5","21.8","29.6","15.1","5.6",".",".","2.2",".",".",".",".","2.2",".",".","."
"","101
002","162","3.394","30.2","30.2","29.6","6.2","3.1",".",".",".",".",".",".",".","0.6",".",".","."
"","101
003","297","3.137","22.9","27.3","22.6","13.5","11.4","1.3","0.7",".",".",".",".",".",".","0.3",".","."
"","101
004","280","3.082","24.6","22.5","23.6","13.2","11.8","3.6","0.7",".",".",".",".",".",".",".",".","."
"Principles-Microeconomics","Course Total","918","3.182","24.8","25.3","25.5","12.4","8.9","1.5","0.4","0.4",".",".",".",".","0.5","0.1",".","."
"","102
001","171","3.156","32.2","18.7","23.4","9.9","9.9","4.7","0.6",".",".",".",".",".","0.6",".",".","."
"","102
002","359","3.642","66.3","13.1","12.0","3.3","3.6","1.7",".",".",".",".",".",".",".",".",".","."
"","102
003","185","3.274","35.1","23.8","17.8","11.4","8.6","2.7",".",".",".",".",".",".","0.5",".",".","."
"Principles-Macroeconomics","Course Total","715","3.431","50.1","17.2","16.2","7.0","6.4","2.7","0.1",".",".",".",".",".","0.3",".",".","."
"Quant Tools for Economics","205
002","56","3.214","32.1","25.0","21.4","7.1","8.9","5.4",".",".",".",".",".",".",".",".",".","."
"Internship Economics","228
001","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","300
001","11","3.227","18.2","36.4","27.3","9.1","9.1",".",".",".",".",".",".",".",".",".",".","."
"","300
002","14","3.250","14.3","28.6","50.0","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"","300
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","300
004","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Introduction to Finance","Course Total","29","3.207","13.8","34.5","34.5","13.8","3.4",".",".",".",".",".",".",".",".",".",".","."
"","301
001","111","3.037","22.5","24.3","23.4","13.5","8.1","2.7","3.6",".",".",".",".",".","0.9","0.9",".","."
"","301
002","204","3.214","23.0","20.1","34.8","14.7","4.9",".",".",".",".",".",".",".","2.5",".",".","."
"Intmed Microeconomic Theory","Course Total","315","3.151","22.9","21.6","30.8","14.3","6.0","1.0","1.3",".",".",".",".",".","1.9","0.3",".","."
"","302
001","163","3.337","27.0","27.0","35.6","7.4","3.1",".",".",".",".",".",".",".",".",".",".","."
"","302
002","122","3.139","21.3","28.7","24.6","17.2","4.1","3.3","0.8",".",".",".",".",".",".",".",".","."
"Intmed Macroeconomic Theory","Course Total","285","3.253","24.6","27.7","30.9","11.6","3.5","1.4","0.4",".",".",".",".",".",".",".",".","."
"","306
001","57","3.723","71.9","12.3","7.0",".","7.0",".",".","1.8",".",".",".",".",".",".",".","."
"","306
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","306
003","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","306
004","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","306
005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","306
006","3","***","","","","","","","","","",".",".",".",".",".",".","."
"The Real Estate Process","Course Total","70","3.732","72.9","12.9","5.7",".","7.1",".",".","1.4",".",".",".",".",".",".",".","."
"Study Abroad-Intermed Econ","309
00A","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","310
001","118","3.145","34.7","15.3","21.2","15.3","6.8","4.2","1.7",".",".",".",".",".","0.8",".",".","."
"","310
002","204","3.074","27.5","19.1","23.0","11.3","13.7","4.4","0.5",".",".",".",".",".","0.5",".",".","."
"Stats:Measrmnt in Economics","Course Total","322","3.100","30.1","17.7","22.4","12.7","11.2","4.3","0.9",".",".",".",".",".","0.6",".",".","."
"Intmed Macroecon-Adv Treatment","312
001","24","3.708","58.3","25.0","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","320
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","320
002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","320
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","320
004","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Investment Theory","Course Total","9","3.444","44.4","33.3",".","11.1","11.1",".",".",".",".",".",".",".",".",".",".","."
"Econ of Race","325
001","41","3.561","46.3","31.7","12.2","7.3","2.4",".",".",".",".",".",".",".",".",".",".","."
"Environmental Economics","343
001","27","2.907","22.2","25.9","14.8","7.4","22.2","3.7","3.7",".",".",".",".",".",".",".",".","."
