"COMMUNICATION ARTS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"250
COM ARTS","","","","","","","","","","","","","","","","","","",""
"","100
001","14","3.607","57.1","14.3","21.4","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"","100
002","14","3.250","35.7","21.4","7.1","28.6","7.1",".",".",".",".",".",".",".",".",".",".","."
"","100
006","13","3.885","76.9","23.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
007","15","3.633","80.0",".","6.7","6.7",".","6.7",".",".",".",".",".",".",".",".",".","."
"","100
008","13","3.500","61.5","23.1",".",".","7.7","7.7",".",".",".",".",".",".",".",".",".","."
"","100
009","14","3.346","7.1","57.1","21.4","7.1",".",".",".",".",".",".",".",".","7.1",".",".","."
"","100
011","15","3.533","46.7","33.3","6.7","6.7","6.7",".",".",".",".",".",".",".",".",".",".","."
"","100
012","15","3.500","46.7","20.0","26.7",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"","100
013","14","3.143","50.0","7.1","21.4","7.1",".","7.1","7.1",".",".",".",".",".",".",".",".","."
"","100
014","15","3.400","46.7","13.3","20.0","13.3","6.7",".",".",".",".",".",".",".",".",".",".","."
"","100
016","15","3.433","53.3","33.3",".",".","6.7",".","6.7",".",".",".",".",".",".",".",".","."
"","100
017","14","3.346","42.9","14.3","21.4","7.1",".","7.1",".",".",".",".",".",".","7.1",".",".","."
"","100
018","13","3.731","61.5","30.8",".","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","100
021","13","3.692","69.2","15.4","7.7",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"","100
023","13","3.962","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
024","15","3.567","46.7","26.7","20.0","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"","100
025","15","3.300","20.0","40.0","26.7","6.7","6.7",".",".",".",".",".",".",".",".",".",".","."
"","100
027","15","3.867","80.0","13.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
028","15","3.633","40.0","46.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
030","14","3.893","78.6","21.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
031","15","3.667","86.7",".","6.7",".",".",".","6.7",".",".",".",".",".",".",".",".","."
"","100
032","15","3.133","26.7","26.7","13.3","13.3","20.0",".",".",".",".",".",".",".",".",".",".","."
"","100
033","14","3.393","14.3","57.1","21.4","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"","100
035","14","3.500","28.6","35.7","14.3","7.1",".",".",".",".",".",".",".",".",".","14.3",".","."
"","100
037","15","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
038","15","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
039","14","3.107","28.6","35.7",".","14.3","14.3","7.1",".",".",".",".",".",".",".",".",".","."
"","100
040","15","3.036","13.3","26.7","26.7","6.7","20.0",".",".",".",".",".",".",".","6.7",".",".","."
"Intro to Speech Composition","Course Total","401","3.528","51.1","24.9","11.2","5.5","4.0","1.2","0.7",".",".",".",".",".","0.7","0.5",".","."
"Intro-Digital Media Production","155
001","56","3.438","46.4","35.7","5.4","1.8","5.4","1.8","3.6",".",".",".",".",".",".",".",".","."
"Intro to Digital Communication","200
001","202","3.814","75.7","13.9","4.5","1.5","0.5","0.5","0.5","3.0",".",".",".",".",".",".",".","."
"Survey of Contemporary Media","250
001","88","3.174","27.3","39.8","10.2","8.0","4.5","2.3","5.7",".",".",".",".",".","1.1","1.1",".","."
"Communication & Human Behav","260
001","159","3.697","72.3","12.6","5.0","3.1","3.8","1.3","0.6","0.6",".",".",".",".",".",".","0.6","."
"Argumentation and Debate","262
001","101","3.835","87.1","6.9","2.0",".",".","1.0","2.0",".",".",".",".",".","1.0",".",".","."
"Intro-Interpersonal Com","272
001","145","3.455","44.8","26.2","14.5","8.3","4.1","2.1",".",".",".",".",".",".",".",".",".","."
"Film Comedy","300
001","82","3.458","52.4","13.4","7.3","4.9","3.7","1.2","3.7","13.4",".",".",".",".",".",".",".","."
"Disability and the Media","312
001","12","3.792","66.7","25.0","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","313
001","33","3.242","33.3","21.2","21.2",".","15.2","3.0",".","3.0",".",".",".",".","3.0",".",".","."
"","313
002","71","3.281","35.2","23.9","11.3","9.9","4.2","4.2","1.4","7.0",".",".",".",".","1.4","1.4",".","."
"","313
003","57","3.412","40.4","28.1","15.8","8.8","5.3","1.8",".",".",".",".",".",".",".",".",".","."
"","313
004","76","3.283","30.3","31.6","22.4","3.9","7.9","3.9",".",".",".",".",".",".",".",".",".","."
"","313
005","41","3.537","36.6","41.5","14.6","7.3",".",".",".",".",".",".",".",".",".",".",".","."
"July 16, 2026","","","","","","","","","","","","","","","","","","Page 219 of 493",""
