"SPANISH (SPANISH AND PORTU Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"912
SPANISH","","","","","","","","","","","","","","","","","","",""
"","101
001","11","3.682","72.7",".","18.2","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","101
003","21","3.381","42.9","14.3","28.6","4.8","9.5",".",".",".",".",".",".",".",".",".",".","."
"","101
004","20","3.125","40.0","5.0","25.0","10.0","15.0","5.0",".",".",".",".",".",".",".",".",".","."
"","101
005","22","3.591","63.6","9.1","18.2",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"","101
006","23","3.717","73.9","13.0","4.3",".","8.7",".",".",".",".",".",".",".",".",".",".","."
"First Semester Spanish","Course Total","97","3.490","57.7","9.3","18.6","4.1","9.3","1.0",".",".",".",".",".",".",".",".",".","."
"","102
001","19","3.395","52.6",".","31.6","5.3","10.5",".",".",".",".",".",".",".",".",".",".","."
"","102
002","21","3.643","66.7","14.3","9.5",".","9.5",".",".",".",".",".",".",".",".",".",".","."
"","102
003","26","3.423","46.2","11.5","30.8","3.8","7.7",".",".",".",".",".",".",".",".",".",".","."
"","102
004","27","3.463","55.6","14.8","11.1","3.7","14.8",".",".",".",".",".",".",".",".",".",".","."
"","102
005","26","3.462","50.0","11.5","23.1","11.5","3.8",".",".",".",".",".",".",".",".",".",".","."
"","102
006","23","3.348","34.8","21.7","30.4","4.3","8.7",".",".",".",".",".",".",".",".",".",".","."
"Second Semester Spanish","Course Total","142","3.454","50.7","12.7","22.5","4.9","9.2",".",".",".",".",".",".",".",".",".",".","."
"","203
001","23","3.783","73.9","13.0","8.7","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"","203
003","26","3.731","69.2","15.4","11.5",".","3.8",".",".",".",".",".",".",".",".",".",".","."
"","203
004","26","3.615","61.5","15.4","11.5","7.7","3.8",".",".",".",".",".",".",".",".",".",".","."
"","203
005","25","3.520","48.0","8.0","44.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","203
006","20","3.158","20.0","10.0","50.0","10.0","5.0",".",".",".",".",".",".",".","5.0",".",".","."
"Third Semester Spanish","Course Total","120","3.580","55.8","12.5","24.2","4.2","2.5",".",".",".",".",".",".",".","0.8",".",".","."
"","204
001","15","3.600","53.3","20.0","20.0","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"","204
002","23","3.196","47.8","8.7","17.4","4.3","13.0","8.7",".",".",".",".",".",".",".",".",".","."
"","204
003","20","3.850","80.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","204
004","24","3.729","66.7","16.7","12.5","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"","204
005","21","3.595","66.7",".","23.8","4.8","4.8",".",".",".",".",".",".",".",".",".",".","."
"Fourth Semester Spanish","Course Total","103","3.587","63.1","10.7","16.5","3.9","3.9","1.9",".",".",".",".",".",".",".",".",".","."
"Latinx Border and Migration","215
001","23","3.565","60.9","8.7","17.4","8.7","4.3",".",".",".",".",".",".",".",".",".",".","."
"Intro to Latinx Cultures","222
001","99","3.714","74.7","13.1","6.1","1.0","1.0",".","3.0","1.0",".",".",".",".",".",".",".","."
"Intro-Hispanic Literatures","224
001","78","3.686","64.1","19.2","11.5",".","5.1",".",".",".",".",".",".",".",".",".",".","."
"Linguistic Study of Spanish","225
001","87","3.603","44.8","41.4","9.2","3.4",".",".","1.1",".",".",".",".",".",".",".",".","."
"","226
001","7","3.714","71.4","14.3",".","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"","226
002","17","3.529","58.8","11.8","17.6",".","11.8",".",".",".",".",".",".",".",".",".",".","."
"","226
003","18","3.750","72.2","16.7","5.6",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"","226
004","25","3.660","76.0","4.0","16.0",".",".",".","4.0",".",".",".",".",".",".",".",".","."
"","226
005","24","3.813","91.7","4.2",".",".",".",".","4.2",".",".",".",".",".",".",".",".","."
"","226
006","24","3.646","66.7","12.5","12.5",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"","226
007","24","3.604","62.5","12.5","12.5","8.3","4.2",".",".",".",".",".",".",".",".",".",".","."
"Interm Lang Prac-","Course Total","139","3.673","71.9","10.1","10.1","2.2","4.3",".","1.4",".",".",".",".",".",".",".",".","."
"Spanish Rep & Visibility in US","228
001","29","3.269","20.7","34.5","17.2","6.9","10.3",".",".",".",".",".",".",".","3.4","6.9",".","."
"Soccer: Cultural Politics","230
001","38","3.338","42.1","31.6","7.9","2.6","2.6","10.5",".","2.6",".",".",".",".",".",".",".","."
"Latin America-Introduction","260
001","8","3.438","75.0",".",".","12.5",".","12.5",".",".",".",".",".",".",".",".",".","."
"Intro to Race in the Americas","285
001","7","3.786","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
