"STATISTICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"932
STAT","","","","","","","","","","","","","","","","","","",""
"Internship Class CS & Data Sci","403
001","8","3.375","62.5","25.0",".",".",".",".","12.5",".",".",".",".",".",".",".",".","."
"Data Sci Computing Project","405
001","46","3.587","54.3","26.1","10.9","4.3","2.2","2.2",".",".",".",".",".",".",".",".",".","."
"Stat Expermntl Design","424
001","60","3.667","60.0","16.7","21.7",".","1.7",".",".",".",".",".",".",".",".",".",".","."
"","431
001","6","3.167","33.3",".","50.0",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"","431
002","6","3.000","16.7","33.3","33.3",".",".","16.7",".",".",".",".",".",".",".",".",".","."
"","431
003","7","3.333",".","57.1","28.6",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"Intro-Theory of Probability","Course Total","19","3.167","15.8","31.6","36.8",".","5.3","5.3",".",".",".",".",".",".","5.3",".",".","."
"","436
001","86","3.436","33.7","39.5","16.3","5.8","2.3","2.3",".",".",".",".",".",".",".",".",".","."
"","436
002","9","3.667","33.3","66.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Statistical Data Visualization","Course Total","95","3.458","33.7","42.1","14.7","5.3","2.1","2.1",".",".",".",".",".",".",".",".",".","."
"","443
001","58","3.672","46.6","51.7",".",".",".",".","1.7",".",".",".",".",".",".",".",".","."
"","443
002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Regression Trees","Course Total","63","3.690","49.2","49.2",".",".",".",".","1.6",".",".",".",".",".",".",".",".","."
"","451
001","92","3.500","39.1","30.4","22.8","6.5","1.1",".",".",".",".",".",".",".",".",".",".","."
"","451
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Machine Learning","Course Total","93","3.500","38.7","31.2","22.6","6.5","1.1",".",".",".",".",".",".",".",".",".",".","."
"","453
001","56","3.688","41.1","55.4","3.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","453
002","8","3.125","37.5","25.0","25.0",".",".",".","12.5",".",".",".",".",".",".",".",".","."
"Deep Learning","Course Total","64","3.617","40.6","51.6","6.3",".",".",".","1.6",".",".",".",".",".",".",".",".","."
"","456
001","51","3.392","33.3","29.4","29.4","5.9",".",".","2.0",".",".",".",".",".",".",".",".","."
"","456
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Appl Multivariate Analysis","Course Total","53","3.415","35.8","28.3","28.3","5.7",".",".","1.9",".",".",".",".",".",".",".",".","."
"","475
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","475
002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","475
003","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro-Combinatorics","Course Total","12","3.182","33.3","8.3","16.7","25.0","8.3",".",".",".",".",".",".",".","8.3",".",".","."
"","479
001","12","3.333","33.3","33.3","25.0",".",".","8.3",".",".",".",".",".",".",".",".",".","."
"","479
002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","479
003","44","3.432","43.2","15.9","27.3","11.4","2.3",".",".",".",".",".",".",".",".",".",".","."
"","479
004","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","479
007","32","3.625","53.1","28.1","9.4","9.4",".",".",".",".",".",".",".",".",".",".",".","."
"","479
008","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Spec Topics in Stats","Course Total","100","3.530","49.0","22.0","19.0","8.0","1.0","1.0",".",".",".",".",".",".",".",".",".","."
"Linear Optimization","525
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Clinical Trials I","542
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Stat Meth for Bioscience II","572
001","26","3.538","38.5","30.8","30.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Statistical Methods I","601
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Data Science Computing Project","605
001","11","3.818","72.7","18.2","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Computing in Data Sci & Stat","606
001","24","3.396","45.8","29.2","16.7",".",".","4.2","4.2",".",".",".",".",".",".",".",".","."
"","610
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","610
002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"July 16, 2026","","","","","","","","","","","","","","","","","","Page 364 of 493",""
