"MUSIC","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"660
MUSIC","","","","","","","","","","","","","","","","","","",""
"Varsity Band","42
001","279","3.894","90.0","4.3","2.9","1.1","0.7","0.4","0.4","0.4",".",".",".",".",".",".",".","."
"Teaching Pop Inst Music 2","421
001","18","3.889","83.3","11.1","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","422
001","11","3.900","72.7","18.2",".",".",".",".",".",".",".",".",".",".","9.1",".",".","."
"","422
002","13","3.792","69.2","15.4",".","7.7",".",".",".",".",".",".",".",".",".",".","7.7","."
"Fundamentals-Music Production","Course Total","24","3.841","70.8","16.7",".","4.2",".",".",".",".",".",".",".",".","4.2",".","4.2","."
"Vocal Chamber Music","424
018","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","43
001","97","3.964","92.8","7.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","43
002","99","3.990","98.0","2.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","43
003","71","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"University Band","Course Total","267","3.983","96.6","3.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Collegium Musicum","461
001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Marching Band Techniques","465
001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Language Diction-Singing II","468
001","12","3.708","50.0","41.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","497
031","19","3.789","94.7",".",".",".",".",".","5.3",".",".",".",".",".",".",".",".","."
"","497
046","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","497
049","18","3.778","94.4",".",".",".",".",".","5.6",".",".",".",".",".",".",".",".","."
"","497
051","11","3.773","81.8",".","9.1","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","497
059","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","497
070","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","497
159","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","497
170","14","3.714","71.4",".","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics in Music","Course Total","86","3.822","90.7",".","5.8","1.2",".",".","2.3",".",".",".",".",".",".",".",".","."
"","499
035","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","499
044","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","499
045","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","499
059","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","499
089","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Concert Choir","50
001","33","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ethnographic Methods for Music","516
001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Treble Choir","52
001","94","3.995","98.9","1.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Orchestration I","523
001","13","3.708","61.5","7.7","23.1",".",".",".",".",".",".",".",".",".","7.7",".",".","."
"Advanced Jazz Improvisation","531
001","9","3.667","55.6","22.2","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Pedagogy","540
020","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Choral Lit &Perf Prac-Today","542
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced String Pedagogy","544
084","2","***","","","","","","","","","",".",".",".",".",".",".","."
"String Literature","546
116","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","553
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","553
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Conducting Seminar","Course Total","4","***","","","","","","","","","","","","","","","",""
