"Adv Topics Seminar-Finance PhD","974
001","7","4.000","100.0",".",".",".",".",".",".",".",".","",".",".",".","",".","",".",".","."
"PhD Thesis-Finance","990
121","2","***","","","","","","","","","","",".",".",".","",".","",".",".","."
"Reading & Rsch-Finance PhD","999
016","1","***","","","","","","","","","","",".",".",".","",".","",".",".","."
"233
FINANCE","Dept. Total","2533","3.415","32.0","24.6","18.0","5.7","2.9","1.3","0.2","0.2","",".","14.5","0.5","",".","",".",".","0.1","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"233
FINANCE","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","9","4.000","11.1",".",".",".",".",".",".",".","",".","88.9",".","",".","",".",".",".","."
"Sophomore","","226","3.044","6.2","8.0","11.9","7.1","2.7","0.4","0.4",".","",".","62.8","0.4","",".","",".",".",".","."
"Junior","","777","3.417","29.2","25.6","16.6","5.3","2.7","1.3","0.1",".","",".","18.4","0.8","",".","",".",".",".","."
"Senior","","1235","3.387","32.7","28.0","21.1","6.6","3.6","1.6","0.2","0.1","",".","5.7","0.4","",".","",".",".",".","."
"Undergraduates","","2247","3.382","28.7","25.1","18.5","6.2","3.2","1.4","0.2","0.0","",".","16.2","0.5","",".","",".",".",".","."
"Special","","26","3.143","23.1","19.2","26.9","3.8",".","3.8","3.8","3.8","",".","3.8",".","",".","",".",".","11.5","."
"Graduate","","257","3.706","61.1","21.4","13.2","1.6","0.4",".",".","1.2","",".","1.2",".","",".","",".",".",".","."
"Prof Yr 2","","3","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"Professionals","","3","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"","Dept. Total","2533","3.415","32.0","24.6","18.0","5.7","2.9","1.3","0.2","0.2","",".","14.5","0.5","",".","",".",".","0.1","."
