"ECONOMICS","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"296
ECON","","","","","","","","","","","","","","","","","","","",""
"Chinese Economy","350","001","42","3.405","31.0","33.3","21.4","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Economic Issues","390","001","30","3.200","23.3","26.7","23.3","20.0","6.7",".",".",".",".",".",".",".",".",".",".","."
"Intro Applied Econometrics","400","001","198","3.056","22.7","19.7","20.2","22.7","13.1","0.5","0.5","0.5",".",".",".",".",".",".",".","."
"Introductory Econometrics","410","001","88","3.045","26.1","19.3","19.3","21.6","8.0","4.5","1.1",".",".",".",".",".",".",".",".","."
"","420","002","7","3.143","42.9","14.3","14.3","14.3",".","14.3",".",".",".",".",".",".",".",".",".","."
"","420","003","9","3.444","44.4","22.2","22.2",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"","420","005","12","3.417","50.0",".","41.7",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"","420","006","17","3.382","41.2","23.5","17.6","5.9","11.8",".",".",".",".",".",".",".",".",".",".","."
"Urban & Regional Economics","","Course Total","45","3.367","44.4","15.6","24.4","4.4","8.9","2.2",".",".",".",".",".",".",".",".",".","."
"Analytical Public Finance","441","001","86","3.107","24.4","24.4","23.3","12.8","7.0","4.7","1.2",".",".",".",".",".","2.3",".",".","."
"Wages and the Labor Market","450","001","45","2.967","15.6","28.9","15.6","22.2","13.3","4.4",".",".",".",".",".",".",".",".",".","."
"Behavioral Economics","455","001","87","3.190","23.0","21.8","34.5","11.5","9.2",".",".",".",".",".",".",".",".",".",".","."
"Indust Struct&Comptitv Stratgy","458","001","41","3.793","65.9","26.8","7.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"International Macroeconomics","461","001","79","3.006","22.8","16.5","19.0","20.3","17.7","1.3",".",".",".",".",".",".","2.5",".",".","."
"Indus Organizat/Imperf Comp","468","001","44","3.875","81.8","13.6","2.3","2.3",".",".",".",".",".",".",".",".",".",".",".","."
"Econ Probs-Developing Areas","474","001","42","3.524","40.5","35.7","14.3","7.1","2.4",".",".",".",".",".",".",".",".",".",".","."
"Agri & Econ Development-Africa","477","001","24","3.292","16.7","45.8","16.7","20.8",".",".",".",".",".",".",".",".",".",".",".","."
"Markets with Frictions","503","001","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Natural Resource Economics","531","001","21","3.475","23.8","42.9","28.6",".",".",".",".",".",".",".",".",".","4.8",".",".","."
"Experimental Econ","535","001","38","3.284","26.3","23.7","28.9","15.8","2.6",".",".",".",".",".",".",".","2.6",".",".","."
"Economics of Health Care","548","001","32","3.613","50.0","21.9","21.9","3.1",".",".",".","3.1",".",".",".",".",".",".",".","."
"","570","001","74","3.777","64.9","27.0","6.8","1.4",".",".",".",".",".",".",".",".",".",".",".","."
"","570","002","83","3.807","71.1","19.3","9.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fund Data Analytics for Econ","","Course Total","157","3.793","68.2","22.9","8.3","0.6",".",".",".",".",".",".",".",".",".",".",".","."
"Honors-Research Proj Design","580","001","18","3.972","94.4","5.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Markets and Models","621","001","43","3.452","44.2","14.0","25.6","14.0",".",".",".",".",".",".",".",".","2.3",".",".","."
"Issues in Internatl Macro","661","001","39","3.385","46.2","17.9","15.4","12.8","5.1","2.6",".",".",".",".",".",".",".",".",".","."
"","682","014","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","015","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","016","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","017","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","018","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","","Course Total","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Economics","690","001","41","3.451","24.4","46.3","24.4","4.9",".",".",".",".",".",".",".",".",".",".",".","."
"","695","001","38","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","695","002","41","3.841","73.2","22.0","4.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","695","003","40","3.163","25.0","32.5","12.5","15.0","12.5","2.5",".",".",".",".",".",".",".",".",".","."
"Econ Data Analysis","","Course Total","119","3.664","65.5","18.5","5.9","5.0","4.2","0.8",".",".",".",".",".",".",".",".",".","."
"Directed Study","698","005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"July 16, 2026","","","","","","","","","","","","","","","","","","","Page 239 of 493",""
